Alignment Sheet,Legal Location,Approximate KP,Tract No.,Environmental Issue(s),Mitigative Measures Implemented During Construction,Outstanding Issue(s) from As-Built Report,Observations in 2010,Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
21,SW 14-37-28,282.6,514,Soils - Erosion,Straw crimped during final clean-up.,Potential for erosion until vegetation is established.,Rill erosion on right-of-way.,Unresolved,"Monitor erosion in 2011 and repair, if warranted.",,W3M,
21,SW 14-37-28,282.6 to 283.2,514,Soils - Trench Compaction,--,Potential for subsidence.,Severe subsidence on right-of-way.,Unresolved,Repair subsidence and monitor in 2011.,,W3M,
21,SW 14-37-28,283.0,514,Soils - Erosion,Straw crimped during final clean-up.,Potential for erosion until vegetation is established.,Rill erosion on right-of-way.,Unresolved,"Monitor erosion in 2011 and repair, if warranted.",,W3M,
21,NW 11-37-28,283.2 to 283.5,514 515,Soils - Trench Compaction,--,Potential for subsidence.,Moderate subsidence on right-of-way.,Unresolved,Repair subsidence and monitor in 2011.,,W3M,
21,NE 11-37-28,283.8,516,Soils - Erosion,Straw crimped cultivated lands during final clean-up.,Potential for erosion until vegetation is established.,Minor erosion on right-of-way.,Unresolved,"Monitor erosion in 2011 and repair, if warranted.",,W3M,
21,NE 11-37-28,284.0,516,Topography - Steep slopes,Tackifier applied.,Potential for erosion until vegetation is established.,"No evidence of soil erosion, vegetation has re-established on right-of-way.",Resolved,None.,,W3M,
21,NE 11-37-28,284.0,516,Vegetation - Weeds,--,--,"Moderate density of perennial sow-thistle, kochia, Russian pigweed and clover species observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W3M,
21,NE 11-37-28,284.2 to 284.5,516,Soils - Trench Compaction,--,Potential for subsidence.,Moderate subsidence on right-of-way.,Unresolved,Repair subsidence and monitor in 2011.,,W3M,
21,SE 12-37-28,285.4 to 286.2,519,Vegetation - Weeds,Livestock manure spread on construction right-of-way by landowner.,Weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W3M,
21,SE 12-37-28,285.7 to 286.0,519,Soils - Trench Compaction,--,Potential for subsidence.,Minor subsidence on right-of-way.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,W3M,
21,NW 6-37-27 to SE 5-37-27,286.4 to 289.6,521 522 523 524 524.01 525,Soils - Erosion,Straw crimped during final clean-up as per landowner request.,Potential for erosion until vegetation is established.,No erosion issues observed on right-of-way.,Resolved,None.,,W3M,
21,NW 6-37-27,287.0 to 287.3,521,Soils - Trench Compaction,--,Potential for subsidence.,Minor subsidence on right-of-way.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,W3M,
21,NW 6-37-27,287.3,521,Soils - Trench Compaction,--,Potential for subsidence.,Severe compaction and reduced crop growth on right-of-way.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction in 2011, if warranted.",,W3M,
21,NW 6-37-27,287.3,521,Soils - Admixing,Front end backfill operators were instructed to leave a few inches of spoil for grader or rubber tire hoe to retrieve off the hot line without scalping. Straw was used as a barrier between the spoil and topsoil.,Potential for admixing revegetation problems.,Moderate admixing and reduced crop growth observed on right-of-way.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,W3M,
21,SE 6-37-27,288.0 to 288.3,523,Vegetation - Weeds,--,--,"Moderate density of lamb's-quarters, flixweed, absinthe, stinkweed and round-leaved mallow observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W3M,
21,SW 5-37-27,288.3 to 288.9,524 524.01,Vegetation - Weeds,--,--,"High density of foxtail barley, kochia, flixweed, stinkweed and round-leaved mallow observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W3M,
21,SW 5-37-27,288.5,524 524.01,Water Quality and Quantity Soils – Erosion Unnamed drainage,Appropriate vehicle crossing installed. Dry crossing - open cut. Erosion control berms placed across each slope; silt fencing installed.,Potential for erosion until vegetation is established.,Poor vegetation establishment within drainage observed on right-of-way during ground reconnaissance.,Unresolved,Reseed drainage and monitor in 2011.,,W3M,
21,SW 5-37-27,288.7,524 524.01,Soils - Trench Compaction,--,Potential for subsidence.,Severe compaction and reduced crop growth on right-of-way.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction in 2011, if warranted.",,W3M,
21,SE 5-37-27,289.3 to 289.5,525,Soils - Trench Compaction,--,Potential for subsidence.,Moderate compaction and reduced crop growth observed on right-of-way.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction in 2011, if warranted.",,W3M,
21,NE 32-36-27,289.6 to 289.8,525,Soils - Trench Compaction,--,Potential for subsidence.,Moderate compaction and reduced crop growth observed on right-of-way.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction in 2011, if warranted.",,W3M,
21,NE 32-36-27,289.8,525,Soils - Erosion,Straw crimped during final clean-up as per landowner request.,Potential for erosion until vegetation is established.,Rill erosion on right-of-way.,Unresolved,"Monitor erosion in 2011 and repair, if warranted.",,W3M,
21,N1/2 & SE 33-36-27,290.4 to 292.0,527 528 529,Soils - Erosion,Straw crimped cultivated lands during final clean-up as per landowner request.,Potential for erosion until vegetation is established.,No erosion issues observed on right-of-way.,Resolved,None.,,W3M,
21,NW 33-36-27,290.25,527,Soils - Compaction,--,--,Moderate compaction and reduced crop growth observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction in 2011, if warranted.",,W3M,
21,NW 33-36-27,290.25,527,Soils - Admixing,--,--,Minor admixing and reduced crop growth observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,W3M,
21,NW 33-36-27,290.9,527,Vegetation - Establishment,--,--,No vegetation establishment in low wet area observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor in 2011.,,W3M,
21,SE 33-36-27,291.7,529,Water Quality and Quantity Soils – Erosion Unnamed drainage,Appropriate vehicle crossing installed. Dry crossing - open cut. Silt fencing installed on both sides of drainage.,Potential for erosion until vegetation is established.,No erosion issues on right-of-way.,Resolved,None.,,W3M,
21,SE 33-36-27,291.7,529,Soils – Compaction Unnamed drainage,--,--,Severe compaction on west approach to drainage observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor grass growth in 2011. Alleviate compaction in 2011, if warranted.",,W3M,
21,SE 33-36-27,291.7,529,Vegetation – Weeds Unnamed drainage,--,--,"Moderate density of kochia, foxtail barley and perennial sow-thistle on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,W3M,
21,SW 34-36-27,292.0 to 292.5,530,Soils - Trench Compaction,--,Potential for subsidence.,Minor subsidence on right-of-way.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,W3M,
21,SW 34-36-27,293.0,530,Vegetation - Weeds,--,--,"High density of wild buckwheat, wild oats and spear-leaved goosefoot observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W3M,
21,SE 34-36-27,293.2 to 293.4,532,Soils - Erosion,Straw crimped cultivated lands during final clean-up as per landowner request.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W3M,
21,SE 34-36-27,293.0 to 293.15,532,Vegetation - Weeds,--,--,"High density of creeping (Canada) thistle, wild oats and narrow-leaved hawk's-beard observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W3M,
21,SE 34-36-27,293.0 to 293.2,532,Soils - Trench Compaction,--,Potential for subsidence.,Minor subsidence on right-of-way.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,W3M,
21,NE 27-36-27,293.45 to 293.64,532,Wetland Class Overall: IV Wetland Class on right-of-way: III 2008 Health: healthy with problems (74%),The wetland was accessed via a shoo-fly on the south side of the wetland. Equipment worked off swamp mats adjacent to the wetland to install the pipeline. The trench was backfilled and the swamp mats were removed.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy with problems (65%).,Resolved,None.,,W3M,
21,NE 27-36-27,293.6 to 293.9,532,Soils - Erosion,Straw crimped cultivated lands during final clean-up as per landowner request.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W3M,
22,NW 26-36-27,294.4 to 294.5,533,Soils - Erosion,Straw crimped cultivated lands during final clean-up as per landowner request.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W3M,
22,NW 26-36-27,294.1 to 294.7,533,Soils - Trench Compaction,--,Potential for subsidence.,Minor subsidence on right-of-way.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,W3M,
22,SE 26-36-27,"294.7 to 294.8, 295.6",535,Soils - Trench Compaction,--,Potential for subsidence.,Minor subsidence on right-of-way.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,W3M,
22,NW 26-36-27,294.52 to 294.60,533,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: healthy (82%),The wetland was accessed via a shoo-fly on the south side of the wetland. Equipment worked off swamp mats adjacent to the wetland to install the pipeline. The trench was backfilled and the swamp mats were removed.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: healthy with problems (65%). Weeds: perennial sow thistle, flixweed. Undesirable species dominant on right-of-way. Should be classed as Class II.",Unresolved,Follow weed control plan and monitor in 2011.,,W3M,
22,W1/2 26-36-27,294.6 to 294.8,533 535,Soils - Erosion,Straw crimped cultivated lands during final clean-up as per landowner request.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W3M,
22,SW 25-36-27,295.8 to 296.4,536,Soils - Erosion,Straw crimped cultivated lands during final clean-up as per landowner request.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W3M,
22,SW 25-36-27,296.2,536,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W3M,
22,SE 19-36-26,299.2,541,Wetland Class Overall: n/a Wetland Class on right-of-way: n/a 2008 Health: no baseline assessment completed,Installed grade material and geotextile ramp. Open cut the wetland (dry at time of construction). Backfilled the trench and removed the ramp material.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Wetland is cultivated through and was not assessed for health.,Resolved,None.,,W3M,
22,SW 20-36-26,299.70 to 299.76,542,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: no baseline assessment completed,Installed grade material and geotextile ramp. Open cut the wetland (dry at time of construction). Backfilled the trench and removed the ramp material.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: unhealthy (19%). Weeds: creeping (Canada) thistle, perennial sow thistle. Bare ground on right-of-way (20% erosion). Landowner has cultivated riparian area. Undesirable species dominant on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,W3M,
22,SW 19-36-26,298.4,540,Soils - Trench Compaction,--,Potential for subsidence.,Moderate subsidence on right-of-way.,Unresolved,Repair subsidence and monitor in 2011.,,W3M,
22,NW 17 to  NW 16-36-26,300.0 to 301.5,543 544 545,Soils- Problem Lower Subsoil (saline subsoils),Three-lift topsoil handling conducted. All soil lifts were replaced in the correct order.,Potential admixing and crop growth problems.,No admixing issues observed on right-of-way.,Resolved,None.,,W3M,
22,NE17-36-26,301.2,544,Soils - Erosion,--,--,Erosion on south edge of right-of-way with potential of sedimentation entering waterbody south of right-of-way observed during ground reconnaissance.,Unresolved,Install silt fence in 2010. Monitor erosion in 2011.,,W3M,
