Legal Location (W6),1<s>st</s> Year (2012) PCM Assessment,2<s>nd</s> Year (2013) PCRM Assessment and Work Completed,3<s>rd</s> Year (2014) PCRM Assessment and Work Completed,4<s>th</s> Year (2015) PCRM Assessment and Work Completed,5<s>th</s> Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
SW 1-79-13,Treed-pasture - Rill erosion observed in two areas on the right-of-way at KP 11.15. One area has been partially repaired by the landowner.,"June, 2013 - These sections are in good shape, no subsidence issues and the growth is good, however some areas have a large number of weeds (lambs quarter, hemp nettle, and stickweed). Monitor and control as needed. KP 10+355; Landowner, concern with subsidence in three locations. July 26 & 27, 2013 - KP 10+355 - Scentless Chamomile (not gone to seed) picked and disposed of.  Sept 26 & 28, 2013 - KP 10+355 Knoll – subsidence repair completed and reseeded.","May 22, 2014 – KP 10+400, 10+450 and 10+600, subsidence, repairs required. – KP 11+180, drainage in good condition. Continue to monitor. – Vegetation growth at 100% of density off RoW. – No weeds identified (2013 weed issue resolved). Aug 22, 2014 - KP 11+105 to KP 11+190 –subsidence and channel erosion leading from the work side of the RoW and south was observed. -Recommend repairs of the subsided and eroding area lying between KP 11+105 to KP 11+190. - KP 11+110 - cross drainage potentially blocked by poor topsoil contouring, monitor in 2015. Aug 21 - 22, 2014 - KP 10+380 to 10+720 – Intermittent fill of subsidence with topsoil, picked rocks and seeded. KP 10+860 (bell hole) Subsidence repaired with topsoil fill, seeded and harrowed. Sept 12, 2014 - KP 11+225 and KP11+150, subsidence repair by topsoil strip and re-grade of subsoil. Soils were harrowed and seeded. Temporary erosion control measures installed - need to be removed prior to haying season in 2015.","June 10, 2015 – Vegetation estimated to be 95% of ground cover on RoW compared to off RoW control. Consisting of alfalfa, clover, fescue, timothy, wheat, brome and other forage grasses.  - Vegetation density on 2014 repairs is sparse (common weeds present, but also present off RoW), repairs completed late in the season and additional time will be required vegetation. Subsidence issue resolved. - 2013 subsidence issue at KP 10+355 is no longer evident, issue resolved. – Seasonal drainage at KP11+180 appears to be functioning well. Mature vegetation present in gully and all through-out cobbled drainage course. Banks at 100% vegetation of off RoW in stable condition. – Fence posts (2) at 11+200 on quarter line missing, recommend repairs. August 10-11, 2015 - repaired fence at KP 11+200, issue resolved.","June 1, 2016 - Vegetation is at 95-100% compared to off ROW control.  - No noxious or invasive weeds were observed in this ¼. - ATV and UTV across the ROW at KP 10+390 likely caused by recreational use. No work required. - Subsidence repairs at from KP 10+380 to 10+720, 10+860, and 11+150, completed in 2014 are now fully vegetated and consistent with off ROW. Issues resolved. - No further subsidence was observed in this ¼. - Seasonal Drainages at KP 10+900 and 11+180 are well vegetated and stable. No erosion observed. Issues resolved",,,
SE 2-79-13,"ROTreed - Rutting from vehicle use (third party damage) observed on the right-of-way at KP 11.20. ill erosion observed on the right-of-way in three swales near KP 11.50.  ne plant of scentless chamomile was observed at KP 12.00 on the east side of a seasonal drain. The plant was picked and bagged on September 13, 2012","June, 2013 - These sections are in good shape, no subsidence issues and the growth is good, however some areas have a large number of weeds (lambs quarter, hemp nettle, and stinkweed). Herbicide application to control recommended. KP 11+200 - 11+230 - Ruts throughout ¼ due to recreational use. Some minor subsidence and rills but good vegetation. Not related to construction, issue resolved. - Rill erosion (KP 11+500) noted in 2012, no longer evident, issue resolved. Scentless Chamomile located, picked 3 plants. A few thistles, spray in fall. September 21, 2013 - KP 11+175 - Herbicide application conducted to control thistle","May 22, 2014 – KP 10+600, erosion, landowner has asked to install a diversion berm as one was present prior to construction. – KP 11+750 and 11+875, subsidence, repairs required. – Vegetation growth at 100% of density off RoW. – No weeds identified. Weed issues noted in 2012 and 2013 are resolved. July 6, 2014 - KP 10+600, Built diversion berm to divert water to treed area instead of hay field. Filled erosion rills with excess topsoil from building diversion berm. Repaired UTV ruts in various areas. July 10, 2014 - KP 11+750 and 11+875 - Repaired areas of subsidence, harrowed and reseeded. Sept 11, 2014 – KP 11+225 and KP 11+300 – subsidence repaired, harrowed and seeded. Erosion control installed (straw waddle) at KP 11+225, remove prior to 2015 haying season.","June 7, 2015 - Vegetation growth and density at 100% of off ROW control - ATV tracks and ruts were observed throughout ¼ as area appears to be popular with local recreational ATV operators. - KP 10+600, swale / berm installed in 2014 looks great and is working well. No new erosion rills were observed at this location. Berm is vegetating well (60% compared to off RoW). Issue resolved. - KP 11+225, 11+750, and 11+875, Subsidence and erosion repairs completed in 2014 are in good condition – minor weeds in revegetating repairs. Issue resolved. - Subsidence at KP 11+300, KP 11+460 (tire ruts), and KP 11+510 – repairs recommended. - KP 11+385, Erosion, repairs recommended. - KP 11+975, drainage is well vegetated and showing no signs of erosion.  August 10 and 11, 2015 - repairs completed; subsidence repaired at KP 11+300, KP 11+460 (tire ruts), and KP 11+510, Erosion rills repaired at KP 11+385.","June 1, 2016 - 100% Veg cover compared to off ROW  - No noxious or invasive weed were identified. - ¼ has been worked and re-seeded with exception of the ROW. ROW has not been hayed the past 2 years. - ATV and UTV ruts continue to be an issue in this ¼ as several trails enter and exit the forest across the ROW. No further work required.  - Subsidence at KP 11+300, 11+460 (tire ruts), and 11+510, repaired in 2015, is revegetating and is at 60-70% cover compared to the rest of the ROW. Issues resolved. - Erosion rill at KP 11+385 still present and requires repairs and installation of erosion control materials. Landowner did not grant access to repair in 2016 due to wet conditions, complete in 2017 as soon as ground conditions and landowner will allow. - Minor subsidence noted at KP 11+700, it is not affecting land use, no work recommended, issue resolved. July 16, 2014 1/4 hayed but ROW is not. It appears landowner does not hay ROW.",,,
SE 2-79-13,Rare plant - aspen/thimbleberry/wild sarsaparilla community (KP 11+600 and 11+950) Resolved: No further monitoring is recommended.,,,,,,,
SE 2-79-13,Rare plant - saxifrage species Resolved: No further monitoring is recommended.,,,,,,,
SW 2-79-13,Treed,"June, 2013 - These sections are in good shape, no subsidence issues and the growth is good, however some areas have a large number of weeds (lambs quarter, hemp nettle, and stickweed), implement control measures. Heavily used for recreation, some rutting Noted Scentless Chamomile and Thistle – spray in fall September 21, 2013 - KP 11+998 - Weeds sprayed, primarily thistle.","May 23, 2014 – KP 12+425, drainage in good condition, monitor for erosion due to rutting from recreational ATVs, continue monitoring – KP 12+475, wide spread rutting from recreational ATV use, continue monitoring. – Vegetation growth at 90% of density off RoW, with a few bare areas due to rutting – No weeds identified. Weed issues from 2013 are resolved. July 10, 2014 - Completed installation of 2 cross fences, at landowner request, one at east end of corner near drainage and one at west end at 1/4 section line.","June 7, 2015 - Vegetation growth and density at 95% of off ROW  - KP 12+400, seasonal drainage looks great and is well vegetated. No erosional issues; diversion berms are well vegetated and functional. - ATV trail is still present through ¼ but ATV use seems to minimal since cross fences were installed last year. Trail is vegetating and any rutting noted last year is vegetating as well, continue to monitor.","June 1, 2016 - 95-100% Vegetation cover compared to off ROW.  - Quad trail runs through ¼ and there is some tire rutting in the low spots on spoil side of the ROW. - Drainage at 12+400 has strong vegetation growth and appears stable. Diversion berms are vegetated and functional.  - Cross fences installed in 2014 are in good condition and gates are functioning well. Issue resolved - No Noxious or invasive weeds were identified in this ¼. - No subsidence.",,,
SW 2-79-13,Tributary of Henderson Creek,,,"June 7, 2015 - KP 12+050, Trib. to Henderson Creek looks great and is well vegetated. There is also plenty of shrub growth, banks are stable and diversion berms appear to be serving their purpose.","June 1, 2016 - Watercourse at 12+050 is very well vegetated with heavy shrub growth. Banks are stable and soil wraps are showing no signs of erosion.",,,
SW 2-79-13,Rare plant - aspen/thimbleberry/wild sarsaparilla community (KP 12+700 to 12+900) Resolved: No further monitoring is recommended.,,,,,,,
NW 34-78-13,"Rare plant - paper birch/club-moss Resolved, no further monitoring is recommended.",,,,,,,
NW 34-78-13,Rare plant – pinesap (KP 13+200) Resolved: No further monitoring is recommended.,,,,,,,
NW 34-78-13,"PHTreed - Rill erosion observed on the right-of-way at KP 13.20. oor vegetation establishment observed on the right-of-way at KP 12.87, KP 13.20 and KP 13.40.  igh density of stork’s bill observed on the right-of-way. Stork’s bill was picked and bagged on September 13, 2012.","June, 2013 - These sections are in good shape, no subsidence issues and the growth is good, however some areas have a large number of weeds (lambs quarter, hemp nettle, and stickweed), implement control measures. Sept 21, 2013 KP 12+782 Weeds sprayed, primarily thistle. Oct 27, 2013 - 100 % vegetation cover – no other concerns (subsidence, erosion, weeds) in the vicinity of these KP 12+800, 13+200, and 13+400. 2012 erosion (KP 13+200), poor vegetation (KP 12+870, 13+200, and 13+400) and weed (stork’s bill) issues resolved.","May 23, 2014 – KP 12+825, watercourse crossing in good condition – KP 12+830 and 13+225, wide spread rutting from recreational ATV use, continue monitoring. – KP 13+425, subsidence, monitor in 2015. - Weeds note in 2013 are no longer evident, issue resolved. – Vegetation growth at 90% of density off RoW. Bare areas where heavy ATV use and rutting. No weeds identified.","June 7, 2015 - Vegetation growth and density is at 90% compared to off ROW control.  - KP 12+900 and 13+350, line of sight berm is vegetating well. - KP 12+925, drainage is well vegetated and showing no signs of erosion. - Subsidence at KP 13+425 (2014) is no longer evident, issue resolved. - ATV tracks and ruts were observed throughout ¼ as area appears to be popular with local recreational ATV operators. - KP 13+250, Hill slope has reduced vegetation due to 3<s>rd</s> party ATV use. - No weeds identified.","June 1, 2016 - Good vegetation establishment. 90-100% cover compared to off ROW. No noxious or invasive weeds were identified in the ¼. - Line of sight berms at KP 12+900 and 13+350 are well vegetated. Shrubs are growing on berm at KP 13+350. - ATV and UTV ruts at seasonal drainage at 12+925 is well vegetated and functioning well and KP 13+200. There is a well-used ATV/UTV trail running through ¼. Ruts are not affecting land use but are damaging vegetation. This will be an ongoing issue with this area being popular for recreational users. No work required. - Previously documented bare spot on hill slope at KP 13+250 is vegetating a little better this year. There is still no evidence of erosion running through the moderately vegetated area. Not affecting land use and there are no associated issues (ie. erosion). Issue resolved. - KP 13+400 Minor subsidence near LOS berm. Not affecting land use. No work required. Issue resolved. - No erosional issues.",,,
NE 33-78-13,"PHTreed-pasture - Rill erosion observed on the right-of-way at KP 13.60. oor vegetation establishment observed on the right-of-way at KP 13.60, KP 13.75 and KP 14.30. igh densities of lamb’s-quarters and stinkweed observed on the right-of-way at KP 13.75 and KP 14.30.","June, 2013 - These sections are in good shape, no subsidence issues and the growth is good. KP 14+300 weed infested at west end of ¼ - Lambs Quarter, Hemp Nettle, Stinkweed, Flixweed; control weeds. July 4, 2013 - Sprayed for Broadleaf weeds and C. thistle. Weeds out competing alfalfa and grass’s in many areas, monitor, reseeding may be required. July 31, 2013 - Sprayed from KP 13+500 to 16+500, weeds of concern Hemp nettle, Canada thistle, Bull thistle, Lambs quarters, Narrow leaved hawk’s beard. Two lone Scentless chamomile plants where found, picked and sprayed. Oct 27, 2016 – 2012 rill erosion (KP 13+600) no longer evident, issue resolved.","May 23, 2014 – KP 13+600, minor erosion identified in 2013, has good vegetation cover and has not worsened, continue monitoring vegetation re-establishment and sign of erosion. – KP 13+800, subsidence, repairs required. – KP 14+300, watercourse crossing in good condition – Vegetation growth at 100% of density off RoW. Poor vegetation growth identified in 2012 not an issue. – No weeds identified. Weed issues noted in 2012 and 2013 resolved. July 31, 2014 - KP 13+800 subsidence repairs completed by hauling topsoil and manure in to fill ditchline, soil from land owner, area seeded and harrowed.","June 8, 2015 - Lathe removed from ROW. - Fences are in disrepair. Recommend repairs.  - Erosion rill was observed at 13+570, repairs recommended. - Subsidence repair at KP 13+800 and erosion at KP 13+600 are not visible, issues resolved. Seasonal Drainage (14+300) - Well vegetated. Comparable to off ROW. Canada thistle was observed. Recommend control measures Sept 24, 2015 – fence repairs completed, issue resolved. - KP 13+570 - installed wattles/erosion repairs completed. Sept 29, 2015 - Handpicked weeds at season drainage at KP 14+300.","June 3, 2016  - 90-100% vegetation cover compared to off-RoW. No noxious weeds observed - Bare areas observed at KP 13+480 along ditch line and on north side of RoW on hill slope. Recommend re-seeding areas and possibly adding tackifier.  - KP 13+570, erosion rill has extended east of 2015 repaired area. Recommend repairs - KP 14+300, seasonal drainage appears well vegetated. No weeds observed, issue resolved. - There was no subsidence observed in this ¼. Sept 9, 2016 – KP 13+480 bare areas covered with layer of soil amendment (biotic earth) and seeded. Issue resolved. - Erosion rill at KP 13+570 is vegetating nicely and is not affecting land use, no further repairs required. Bare spot at end of erosion rill was seeded, covered with soil amendment (biotic earth) and tackifier. Issues resolved.",,,
