Legal Location,1st Year (2013) Issue/Condition,2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
94I-13-I84,Low vegetation establishment,"September 18, 2014 - Vegetation showing healthy re-establishment, variety of species including grasses, forbs and woody species 85% cover, no issues. 2013 vegetation cover issue resolved.","June 20, 2015  - Vegetation establishment appears to be comparable to off ROW control consisting predominantly of wetland vegetation and deciduous species’. - Patch of perennial sow thistle present at KP 30+750. Recommend herbicide application. - Roach exhibiting areas of thinner vegetation cover (50-60%) but appears stable with cross drains functioning well. - No subsidence or erosional issues evident in tract. July 15, 2015  - Patch of perennial sow thistle plants at KP 30+750 were handpicked within wetland area. September 24, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees, willows and shrubs growing throughout.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - Minor subsidence was noted at foreign pipeline crossing KP 30+792, did not appear to be impacting land use. - Previous weed control appears to have successful. No noxious or prohibited noxious weeds were observed.","July 23, 2016 - 80% vegetation established compared to off ROW. - No noxious weeds observed within tract. - Intermittent bare patches present within tract, monitor. - No erosion concerns or subsidence observed within tract. September 27, 2016- Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues. - Perennial sow thistle no longer evident within tract, 2015 issue resolved.",,,
94I-13-I84,Treed fen,"September 18, 2014 - Wetland located from KP 30+000 to KP 30+300 is holding water, contains emergent riparian vegetation and appears functional. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.","June 20, 2015  - Treed Fen located between kp 30+000 and kp 30+300 contains emergent riparian vegetation.  - Wetland has proper functional condition. Issue resolved.  - Bare patches of peat and mulch present along ROW.","Sept 27, 2016 - Treed fen located between KP 30+000 and KP 30+300. - Spruce saplings establishing along ROW boundaries. - Alder/willow species present along fringe of wetland. - Wetland has proper functional condition. Issue resolved.",,,
94I-13-I83,Low vegetation establishment,"September 18, 2014 - Vegetation showing healthy re-establishment, variety of species including grasses, forbs and woody species 85% cover, no issues.  2013 vegetation cover issue resolved.","June 20, 2015  - Vegetation establishment appears to be 85-90% comparable to off ROW control.  - Roach exhibiting areas of thinner vegetation cover (50-60%) but appears stable with cross drains functioning well. - No subsidence or erosional issues evident in tract. September 24, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees, willows and shrubs growing throughout.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were observed.  - Drainage located at 31+544 appeared well vegetated and stable with no indication of erosion or other environmental concern.   - No Noxious or prohibited noxious weeds were observed.","July 23, 2016 - 80-90% vegetation established compared to off ROW. - Broken ROW marker post observed at KP 30+800. Recommend replacing post. - Intermittent bare patches present within tract, monitor. - No erosion concerns or subsidence observed within tract. - No noxious weeds observed within tract during assessment. September 27, 2016 - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues. - KP 30+800 – Straightened and secured marker posts and signage. Re-installed post at winter road crossing. Issue resolved.",,,
94I-13-I83,Treed fen,"September 18, 2014 - Wetland located from KP 30+660 to KP 30+760 are holding water, contains emergent riparian vegetation and appears functional. Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.","June 20, 2015  - Treed Fen located between kp 30+660 and kp 30+760 has standing water along ROW and contains emergent riparian vegetation.  - Wetland has proper functional condition. Issue resolved.  - Bare patches of peat and mulch present along ROW.","Sept 27, 2016 - Treed fen located between KP 30+660 and KP 30+760. - Emergent riparian vegetation present throughout wetland. - Alder/willow species present along fringe of wetland. - Wetland has proper functional condition. Issue resolved.",,,
94I-13-I83,Shrubby fen,"September 18, 2014 - Wetland located from KP 31+050 to KP 31+130 is holding water, contains emergent riparian vegetation and appears functional. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.","June 20, 2015  - Shrubby Fen located between kp 31+050 and kp 31+130 contains emergent riparian vegetation.  - Wetland has proper functional condition. Issue resolved.  - Bare patches of peat and mulch present along ROW.","Sept 27, 2016 - Shrubby fen located between KP 31+050 and KP 31+130. - Emergent riparian vegetation present throughout wetland. - Alder/willow species present along fringe of wetland. - Intermittent areas of standing water located within wetland. - Wetland has proper functional condition. Issue resolved.",,,
,"Rare plant - Iowa golden saxifrage (S2S3) – KP 31+000 On August 23, 2013, rare plant specialists visited the location and observed 3 plants. Resolved: No further monitoring is recommended.",,,,,,
,"Rare plant - western Jacob's ladder (S4) – KP 31+000 to 31+200 On August 23, 2013, rare plant specialists visited the location and observed 40 plants. Resolved: No further monitoring is recommended.",,,,,,
,"Rare plant - European water hemlock (S2S3) – KP 31+100 On August 23, 2013, rare plant specialists visited the location and observed 1 plant. Resolved: No further monitoring is recommended.",,,,,,
,Rare plant - yellow collar moss (S3S4) – KP 31+400 No monitoring was conducted in 2013 since the project no longer impacted the population following the reroute. Resolved: No further monitoring is recommended.,,,,,,
,"Rare plant - western Jacob's ladder (S4) – KP 31+500 to 31+600 On August 23, 2013, rare plant specialists visited the location and observed 20 plants. Resolved: No further monitoring is recommended.",,,,,,
94I-13-I73,Low vegetation establishment,"September 18, 2014 - Vegetation showing healthy re-establishment, variety of species including grasses, forbs and woody species 85% cover, no issues. 2013 vegetation cover issue resolved.","June 20, 2015  - Vegetation establishment appears to be 85-90% comparable to off ROW control. - Roach exhibiting areas of thinner vegetation cover (50-60%) but appears stable with cross drains functioning well. - No subsidence or erosional issues evident in tract. September 24, 2015  - Vegetation continues to establish throughout ROW. - Re-contouring appeared to be stable with no erosion, subsidence or slumping observed.   - No integrity concerns were observed.  - No Noxious or prohibited noxious weeds were observed.","July 23, 2016 - 80-90% vegetation established compared to off ROW. - No noxious weeds observed within tract. - Intermittent bare patches present within tract, monitor. - No erosion concerns or subsidence observed within tract. September 27, 2016- Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues. Willows and shrubs are well established.",,,
94I-13-I73,Treed fen,"September 18, 2014 - Wetland located from KP 31+250 to KP 31+320 is holding water, contains emergent riparian vegetation and appears functional. Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.","June 20, 2015  - Treed Fen located between kp 31+250 and kp 31+320 contains riparian vegetation.  - Wetland has proper functional condition. Issue resolved.  - Bare patches of peat and mulch present along ROW.","Sept 27, 2016 - Treed fen located between KP 31+250 and KP 31+320. - Emergent riparian vegetation present throughout wetland. - Alder/willow species present along fringe of wetland. - Wetland has proper functional condition. Issue resolved.",,,
