Legal Location (W4M),Tract (EEH),Start KP,End KP,Land Use,KP of Issue,UTM of Issue,Environmental Issue(s) Observed,2016 CH2M Observations/ Comments,2016 Status<s>a</s>,2016 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge,Recommendations/ Notes,2017 CH2M Observations/ Comments,2017 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge,2017 Status<s>a</s>,2017 Recommendations/ Notes,2018 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge/Assessment Required by CH2M,2018 Jacobs Observations/ Comments,2018 Status<s>a</s>,2018 Recommendations/ Notes,VEC,GIS,Topic
NW 17-51-22 (cont’d),See above,See above,See above,See above,--,n/a,Vegetation - - weeds,--,--,--,--,--,--,--,--,"Weed issue identified by Enbridge in 2017.  Scentless chamomile was sprayed, and hand picked in August 2017.",Density and distribution of weed species were equal on and off ROW.  Scentless chamomile was not observed at the time of assessment.,R,None.,,,
NW 17-51-22 (cont’d),See above,22.280,22.340,Wetland,22.340,352784 E 5919396 N,Vegetation - weeds,"Weed issue observed in wetland area on the ROW. Scentless chamomile, flixweed, lamb’s-quarters and stinkweed were observed at high densities in wetland area.",U,Enbridge Operations to follow-up in 2017. Will continue to monitor weed growth in 2017 with landowner and control weeds as needed.,Control weeds and monitor in 2017.,Not able to assess the wetland during the 2017 survey.,"Repair Work: Weeds were handpicked August 29, 2017",U,Monitor in 2018.,--,Wetland has established well.  Some impacts due to grazing.,R,None.,,,
SW 17-51-22,0070 0071,22.348,22.982,Treed pasture,22.348 to 22.982,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor,vegetation establishment in 2017.,Vegetation parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SW 17-51-22,0070 0071,22.348,22.982,Treed pasture,22.348 to 22.982,--,Vegetation - weeds,Weed issue observed in recently mowed area. Increased density of Canada thistle and white cockle were observed on ROW compared to off ROW conditions.,U,Enbridge Operations to follow-up in 2017. Will continue to monitor weed growth in 2017 with landowner and control weeds as needed.,Control weeds and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,Weed Issue Identified by landowner and Enbridge in 2017. Canada thistle and white cockle were sprayed in June 2017.,High densities of white cockle and Canada thistle were observed on the ROW compared to off ROW conditions. Alfalfa establishment looks good.,U,Spot spray weeds as required and monitor in 2019.,,,
SE 17-51-22,0072 0073,22.982,23.325,Tame pasture/ hay,22.982 to 23.325,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor,vegetation establishment in 2017.,"High densities of yellow sweet clover are outcompeting vegetation along the ROW. However, in areas where yellow sweet clover is not present, the vegetation parameters were equal on and off the ROW.",--,R,None.,--,--,--,--,,,
SE 17-51-22 (cont’d),See above,See above,See above,See above,23.150 to 23.290,--,Vegetation - weeds,"Weed issue observed in recently mowed area. Increased density of perennial sow-thistle, Canada thistle and white cockle were observed on ROW compared to off ROW conditions.",U,"October 3, 2016: land agent spoke with the landowner via telephone. Landowner brought forward concerns of there being more thistle growing on ROW than off ROW and stated that he is not satisfied with the grass catch at this time.  Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Control weeds and monitor in 2017.,High density of yellow sweet clover outcompeting vegetation along the ROW. Some ponded water where vegetation was removed within the western portion of the wetland. Wetland vegetation anticipated to re-establish over time.,"Repair Work: Weeds sprayed on August 30, 2017.",U,Monitor in 2018.,"Weed issue identified by Enbridge. Canada thistle, absinth, perennial sow thistle, and white cockle was sprayed in June 2017.",Higher density of perennial sow thistle and white cockle observed on ROW when compared to off ROW between KP 23.150 to KP 23.290.,U,Control weeds as required and monitor in 2019.,,,
SE 17-51-22 (cont’d),See above,See above,See above,Tame pasture/ hay Wetland,--,353195 E 5918636 N,Landscape – subsidence,--,--,--,--,--,October 2016: landowner observed drainage/ contouring issue. Water pooling in the middle of the field area that should be draining into the wetland. October 2016: Enbridge is in discussions with the Environmental team.,U,"Assess subsidence and repair, if warranted, in 2018.",Subsidence identified by Enbridge. Location will be managed and completed based on priority. Repair Work:  Enbridge will assess the area to confirm the location of issue in 2019.,A low area was observed over the ETH trench at KP 23.144 to KP 23.189.  Another low area was observed over Line 2 trench at the wetland and fence boundary at KP 23.055. Wetland crew assessed area and did not observe any issues or ponded water. Field crews spoke with landowner. He indicated that an Enbridge representative was visiting that week to discuss subsidence issue.,U,"Confirm the exact location of subsidence. Provide UTM coordinates for field crews to assess in 2019. Repair if warranted. If repair work is required, schedule repairs when feasible.",,,
NE 8-51-22,0074,23.325,24.278,Treed pasture,23.325 to 24.980,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.   Isolate cattle,"from the ROW, if possible. Monitor vegetation establishment in 2017.",Vegetation parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NE 8-51-22,0074,23.325,24.278,Treed pasture,23.325 to 24.980,--,Vegetation - weeds,"Weed issue observed in recently mowed area. Increased density of Canada thistle, Russian pigweed, lamb’s-quarters and white cockle were observed on ROW compared to off ROW conditions.",U,"June 2, 2016: land agent spoke with the landowner via telephone. Landowner indicated they had no issues or concerns with the ROW condition. Enbridge Operations to follow-up in 2017. Will continue to monitor weed growth with the landowner in 2017 and control weeds as needed.",Control weeds and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,"Weed issue identified by Enbridge and landowner in 2017.  Absinthe wormwood, Canada thistle and white cockle was sprayed in August 2017. On June 6, 2018, ROW and ditch line was boom sprayed to control absinth, perennial sow thistle, and Canada thistle. Absinth was still observed to be established.","Patches of absinthe wormwood, Canada thistle and white cockle on the ROW. Most weeds were distributed along Line 2.  Vegetation has established well.",U,Spot spray weeds as required and monitor in 2019.,,,
SE 8-51-22,0075 0076,24.278,24.489,Tame pasture/ hay,24.278 to 24.489,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor vegetation establishment in 2017.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SW 9-51-22,0076.1 0078 0079 0080 0081,24.489,25.236,Hay,24.750,354011 E 5917323 N,Vegetation - establishment,Has been reseeded. No access during the 2016 PCM assessment.,U,Enbridge Operations to follow-up in 2017. Will continue to monitor vegetation growth with the landowner in 2017. Repair Work: 2016 – the ROW was reseeded,Assess in 2017.,Overall vegetation parameters were equal on and off the ROW. Hay was recently cut. Unable to identify the vegetation establishment issue observed by Enbridge at KP 24.75.,"Weed issue identified by Enbridge and landowner in 2017. Repair Work: Scentless chamomile, white cockle and Canada thistle were sprayed in August 2017",U,Monitor in 2018.,"White cockle, Canada thistle, Sow thistle, and hawkweed were sprayed in June 2018. White cockle is encroaching from the north; however, spraying has been denied dur to the presence of alfalfa.","White cockle was observed in low densities on the ROW. However, high densities on adjacent Enbridge ROW were observed.  Vegetation has established well",U,"Control weeds on ROW as well as adjacent ROW to avoid further encroachment. Monitor in 2019. If spot spraying is not permitted mechanical control (that is, mowing) or handpicking may be required.",,,
NW 4-51-22,0082 0083 0084 0085.1,25.236,25.470,Treed hay,25.236 to 25.950,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor,vegetation establishment in 2017.,Vegetation parameters were equal on and off the ROW.,"July 17, 2017: land agent spoke with landowner. They are satisfied with work.  Repair Work: Weeds spayed on August 30, 2017.",R,None.,--,--,--,--,,,
NW 4-51-22,0082 0083 0084 0085.1,25.236,25.470,Treed hay,25.240,354265 E 5916904 N,Landscape - erosion,Refer to Year 1 PCEM Report.,U,,Refer to Year 1 PCEM Report.  Monitor in 2017.   Rill erosion was not,observed at the time of assessment.,"July 17, 2017: land agent spoke with landowner. They are satisfied with work.  Repair Work: Weeds spayed on August 30, 2017.",R,None.,--,--,--,--,,,
NW 4-51-22,0082 0083 0084 0085.1,25.236,25.470,Treed hay,25.410,354369 E 5916769 N,Landscape - erosion,Refer to Year 1 PCEM Report.,U,,Refer to Year 1 PCEM Report.  Monitor in 2017.   Rill erosion was not,observed at the time of assessment.,"July 17, 2017: land agent spoke with landowner. They are satisfied with work.  Repair Work: Weeds spayed on August 30, 2017.",R,None.,--,--,--,--,,,
NW 4-51-22,0082 0083 0084 0085.1,25.470,25.946,Hay,25.470 to 25.946,--,Vegetation - weeds,"Hay crop is establishing well in this area. Weed issue observed on the ROW. Hemp-nettle, stinkweed, flixweed, Canada thistle, wild buckwheat and red-root pigweed were observed at higher densities on ROW than off.",U,Enbridge Operations to follow-up in 2017. Will continue to monitor vegetation establishment in 2017 with the landowner.,Control weeds and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW.,"July 17, 2017: land agent spoke with landowner. They are satisfied with work. Repair Work: Weeds spayed on August 30, 2017.",R,None.,"Repair Work: White cockle, Canada thistle and hawkweed were sprayed. Vegetation appeared to be established well.",Higher densities of white cockle were observed on adjacent Enbridge ROW. Some encroaching on ETH ROW.,R,"This issue is resolved for ETH and Line 2; however, weeds should be controlled on adjacent Enbridge ROW to avoid encroachment.",,,
NE 4-51-22,0085.2 0086,25.946,26.23,Hay,25.960 to 25.990,--,Vegetation - weeds,"Weed issue observed on the ROW. Hemp-nettle, stinkweed, flixweed, white cockle, Canada thistle and red-root pigweed were observed at higher densities on ROW than off.",U,"October 17, 2016: land agent spoke with the landowner via telephone. Landowner indicated they had no issues or concerns with the ROW condition. Enbridge Operations to follow-up in 2017. Will continue to monitor vegetation establishment in 2017 with the landowner.",Control weeds and monitor in 2017.,High density of yellow sweet clover outcompeting vegetation along the ROW.,"July 17, 2017: land agent spoke with landowner. They are satisfied with work. Repair Work: Weeds spayed on August 30, 2017.",U,None.,"Repair Work: White cockle, Canada thistle and hawkweed were sprayed.",Higher densities of white cockle and perennial sow thistle were observed on the ROW.,U,Control weeds and monitor in 2019.,,,
SE 4-51-22,0087 0088 0089 0090,26.230,27.289,Treed hay,26.230 to 26.560,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,"N Refer to Year 1 PCEM Report. November 16, 2016: land agent spoke with the landowner via telephone. Landowner indicated they had no issues or concerns with the ROW condition. Enbridge Operations to follow-up in 2017. Will continue to monitor vegetation establishment in 2017 with the landowner.",Monitor in 2017.,Vegetation parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SE 4-51-22,0087 0088 0089 0090,26.230,27.289,Treed hay,26.810 to 27.230,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,"Refer to Year 1 PCEM Report.  Monitor in 2017,",to determine if further weed control is required.,Hight density and distribution of weeds were observed both on and off the ROW.,Repair Work: Weeds sprayed in June 2017.,R,None.,--,--,--,--,,,
SE 4-51-22,0087 0088 0089 0090,26.230,27.289,Treed hay,26.371; 26.440,--,Vegetation – weeds and establishment,--,--,,--,--,--,--,--,"Landowner requested that low areas are reseeded. Repair Work: White cockle, Canada thistle and hawkweed were sprayed. Vegetation appeared to be established well.",High densities of white cockle and Canada thistle were observed in low areas at KPs 26.371 and KP 26.440. Weeds are outcompeting vegetation.,U,Reseed and monitor for weed regrowth and vegetation establishment in 2019.,,,
SE 4-51-22,0087 0088 0089 0090,26.230,27.289,Treed hay,26.532,--,Landscape – subsidence,--,--,--,--,--,--,--,--,--,A shallow depression was observed at KP 26.532.,U,Monitor in 2019 to ensure it does not into a subsidence issue.,,,
NE 32-50-22,0092 0093,27.289,27.400,Tame pasture,27.289 to 27.400,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor in 2017.,,Vegetation parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NE 32-50-22,0092 0093,27.289,27.400,Tame pasture,27.289 to 27.400,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NE 32-50-22,0092 0093,27.400,27.555,Cultivated,27.400 to 27.555,--,Vegetation – crop growth,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,growth in 2017.,Crop parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
