Legal Location,1st Year Issue/Condition,1st Year (2016) Issue(s),2nd Year (2017) PCRM Assessment and Work Completed,3rd Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
NW 34-062-06 W6,Prohibited Noxious Weeds (high) 23+200,- meadow hawkweed (Pilosella caespitosa) a prohibited noxious weed was identified; the weed is establishing from the adjacent ROW in the quarter section,"June 20, 2017 - Vegetation cover on the ROW is 65 – 80% compared to the off ROW control. Vegetation is well established with desirable species found throughout ROW. 2016 vegetation cover issue resolved. - KP 23+250 ponding on work side, recommend repairs. - KP 23+300 - Canada thistle observed, recommend herbicide application. - KP 23+550 marker posts fallen over. Recommend repairs. - KP 23+800 - Recommend removing silt fence, vegetation is providing adequate sediment control. July 14, 2017 – KP 23+200 – Scentless chamomile, picked, bagged, and disposed of. - Intermittent herbicide application conducted to control meadow hawkweed and Canada thistle. September 14, 2017 – KP 23+560 to 23+640 and 23+815 – Intermittent herbicide application conducted to control perennial sow thistle. Meadow hawkweed and scentless chamomile are no longer present, issues resolved. September 10, 2017 – KP 23+480, 23+500, and 23+610 – Marker and sign posts repaired, issues resolved. - KP 23+250 – Ponding repaired, issue resolved. - KP 23+800 – Silt fence removed, issue resolved.","July 1, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control for majority of ¼ section. Various Grasses establishing well along with broadleaf shrubs including raspberry, yarrow, Indian paintbrush, yellow rattle and willows. Desirable vegetation continues to establish on ROW. - Meadow hawkweed (intermittently) observed, recommend herbicide application. Oxeye daisy (KP 23+870) individual was picked, bagged and disposed of. - Diversion berms and cross drains in ¼ are functioning well, appear stable and vegetating. - KP 23+470 – Pipeline markers/posts require repairs. - No erosion or subsidence was observed in ¼. July 14, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, oxeye daisy (KP 23+900) and marsh thistle (KP 23+900). August 23, 2018 – Meadow hawkweed (intermittently), Canada thistle (KP 23+185) and perennial sow thistle (KP 23+620 to 23+690, 23+790, and 23+820 to 23+870) observed, recommend herbicide application. Sept 6, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, Canada thistle (KP 23+185), and perennial sow thistle (KP 23+620 to 23+690, 23+790, and 23+820 to 23+870). Oct 4, 2018 – KP 23+470 – Marker/post repaired, issue resolved.",,,
NW 34-062-06 W6,Noxious Weeds (moderate) 23+260,- scentless chamomile (Tripleurospermum inodorum) was identified (<20 individuals),"June 20, 2017 - Vegetation cover on the ROW is 65 – 80% compared to the off ROW control. Vegetation is well established with desirable species found throughout ROW. 2016 vegetation cover issue resolved. - KP 23+250 ponding on work side, recommend repairs. - KP 23+300 - Canada thistle observed, recommend herbicide application. - KP 23+550 marker posts fallen over. Recommend repairs. - KP 23+800 - Recommend removing silt fence, vegetation is providing adequate sediment control. July 14, 2017 – KP 23+200 – Scentless chamomile, picked, bagged, and disposed of. - Intermittent herbicide application conducted to control meadow hawkweed and Canada thistle. September 14, 2017 – KP 23+560 to 23+640 and 23+815 – Intermittent herbicide application conducted to control perennial sow thistle. Meadow hawkweed and scentless chamomile are no longer present, issues resolved. September 10, 2017 – KP 23+480, 23+500, and 23+610 – Marker and sign posts repaired, issues resolved. - KP 23+250 – Ponding repaired, issue resolved. - KP 23+800 – Silt fence removed, issue resolved.","July 1, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control for majority of ¼ section. Various Grasses establishing well along with broadleaf shrubs including raspberry, yarrow, Indian paintbrush, yellow rattle and willows. Desirable vegetation continues to establish on ROW. - Meadow hawkweed (intermittently) observed, recommend herbicide application. Oxeye daisy (KP 23+870) individual was picked, bagged and disposed of. - Diversion berms and cross drains in ¼ are functioning well, appear stable and vegetating. - KP 23+470 – Pipeline markers/posts require repairs. - No erosion or subsidence was observed in ¼. July 14, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, oxeye daisy (KP 23+900) and marsh thistle (KP 23+900). August 23, 2018 – Meadow hawkweed (intermittently), Canada thistle (KP 23+185) and perennial sow thistle (KP 23+620 to 23+690, 23+790, and 23+820 to 23+870) observed, recommend herbicide application. Sept 6, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, Canada thistle (KP 23+185), and perennial sow thistle (KP 23+620 to 23+690, 23+790, and 23+820 to 23+870). Oct 4, 2018 – KP 23+470 – Marker/post repaired, issue resolved.",,,
NW 34-062-06 W6,Wetland (shrubby fen/treed fen) 23+700 to 23+900,- wetland observed to be on an acceptable trajectory of reaching preconstruction functional conditions. - pre-construction contours recreated - appropriate wetland species were beginning to establish - no excessive ponded water or impeded flow due to the construction ROW,"June 20, 2017 - Fen on ROW from KP 23+700 – 23+900 appears stable and on the trajectory of reaching preconstruction function.  - Vegetation cover in fen is 80-100% comparable to off ROW control with establishing grasses and willows. - Trench crown is stable throughout wetland and cross drains in trench crown are functioning well and allowing for hydrology to be maintained. - Watercourse 9 (KP 23+800) runs through middle of fen acting as a hydrological outlet. - Substrate is stable with good organic composition and moisture for vegetation growth; high water level observed in wetland. - No subsidence or erosion issues observed in wetland.","July 12, 2018 - Fen on ROW from KP 23+700 – 23+900 appears stable, resembling baseline conditions with no net loss of wetland function identified. Watercourse 9 KP 23+800 runs from north to south channeling water evenly across ROW. - Vegetation cover is 80-100% comparable to off ROW with good establishment of rushes, grasses, willows, common Cattails, horsetails, cotton grass, buckbrush, sedges and sphagnum mosses. Excellent establishment of hydrophytic species throughout wetland including both emergent and submergent vegetation within standing water and watercourse.  - Intermittent meadow hawkweed and perennial sow thistle were observed through wetland. Weeds controlled throughout 2018. - Trench crown present through wetland and functioning well. Sufficient amount of cross drains present allowing for hydrology to be maintained across the ROW. There was no identifiable impediment of flow within watercourse in wetland. - Substrate throughout wetland appears healthy through uniform saturation, vegetation cover and organic content.  - Substrate is showing fully-saturated conditions with standing water throughout majority of wetland as the water table is at the ground surface. - Test samples of substrate showed similar levels of peat and organics both on and off ROW.  - Wetland is showing good habitat opportunities for wildlife through water presence, snags and a good diversity of vegetation. Signs of mammals were identified through wetland. - Pre-construction contours within wetland have been achieved. No ponding or erosion issues were observed on ROW. Vegetation biodiversity has been attained on ROW. - Coniferous tree species to emerge onto ROW over time through succession.",,,
NW 34-062-06 W6,Watercourse (WC 9) Long Lake Creek 23+800,"- no terrain instability (e.g., subsidence, erosion etc.) observed directly associated with the watercourse. - good first-year vegetation establishment was observed for this watercourse crossing but moderate vegetation cover was observed upslope of the silt fencing - silt fencing has partially collapsed, but appears to still be effective - silt fence repaired in fall of 2016","June 20, 2017 - WC #9 Long Lake Creek. Both banks of water courses are stable and vegetating well 65-80% cover. Willows, grasses and broadleaf shrubs establishing along banks. Diversion berms leading to watercourse functioning well.","June 30, 2018 - Vegetation has recovered well through wetland area and is at 80-100% cover compared to off ROW control, previous moderate vegetation issue resolved. - Vegetation consists of wetland grasses willows and sedges. - Watercourse 9 (KP 23+800) runs through middle of fen acting as a hydrological outlet. - No subsidence or erosion issues observed in wetland.",,,
NE 34-062-06 W6,Rollback 24+300 to 24+550,,"June 20, 2017 - Rollback for access control. Roll back is effective restricting access along ROW, but paralleling lines are without roll back allowing for access adjacent. No third-party impacts were identified.","July 1, 2018 - Rollback between, KP 24+300 to 24+550, remains unchanged and functioning as intended. No evidence of 3rd party use was observed.",,,
NE 34-062-06 W6,Moderate to High Issues with Plant Growth (high) 23+960 to 25+080,- decreased percent cover of vegetation was noted throughout the majority of the quarter section,"June 20, 2017 - Vegetation cover on the ROW is 65 to 80% compared to the off ROW control. Vegetation is well established with desirable species found throughout ROW. 2016 vegetation cover issue resolved. - KP 24+550 Silt fence require repairs. - KP 24+500 to KP 24+750 - Rill erosion observed. Recommend installation of erosion control materials. - KP 24+700 – Berm requires repairs. September 14, 2017 – KP 24+980 to 25+000 – Intermittent herbicide application conducted to control perennial sow thistle. September 10, 2017 – KP 24+285 – Marker posts repaired, issue resolved. - KP 24+550 – Silt fence repaired, issue resolved. - KP 24+500 to KP 24+750 - Rill erosion repaired and erosion control materials installed. Issue resolved. - KP 24+700 – Berm repaired and erosion control materials installed. Issue resolved.","July 1, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control. Vegetation consists of grasses, clover, willows, aspen, avens, yellow rattle, Indian paintbrush and sedges. - Meadow hawkweed (intermittently) and perennial sow thistle (KP 24+050) observed, recommend herbicide application. - KP 24+790 and 24+490 – Ponding observed, repairs recommended. - Drainage crossing at KP 17+650 is stable, well vegetated and is functioning as it should. - KP 24+550 – Silt fence is no longer required on NW side of drainage, vegetation has stabilized the area, recommend removal. Silt fencing requires repairs on SE side of drainage. - No subsidence or erosion was identified in this ¼. July 14, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, white cockle (KP 24+000), and bull thistle (KP 24+100). August 23, 2018 – Meadow hawkweed (intermittently) observed, recommend herbicide application. Sept 7, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, perennial sow thistle (KP 24+050 and 24+600), and Canada thistle (KP 24+200). Oct 3, 2018 – KP 24+550 – Silt fence removed from NW side of drainage and repaired on SE side of drainage. Issues resolved. - KP 24+790 and 24+940 – Ponding repaired, issues resolved.",,,
NE 34-062-06 W6,Erosion Control 24+300,"- vegetation is establishing well around drainage 17, silt fencing no longer required - silt fence removed fall of 2016, issue resolved.","June 20, 2017 - Vegetation cover on the ROW is 65 to 80% compared to the off ROW control. Vegetation is well established with desirable species found throughout ROW. 2016 vegetation cover issue resolved. - KP 24+550 Silt fence require repairs. - KP 24+500 to KP 24+750 - Rill erosion observed. Recommend installation of erosion control materials. - KP 24+700 – Berm requires repairs. September 14, 2017 – KP 24+980 to 25+000 – Intermittent herbicide application conducted to control perennial sow thistle. September 10, 2017 – KP 24+285 – Marker posts repaired, issue resolved. - KP 24+550 – Silt fence repaired, issue resolved. - KP 24+500 to KP 24+750 - Rill erosion repaired and erosion control materials installed. Issue resolved. - KP 24+700 – Berm repaired and erosion control materials installed. Issue resolved.","July 1, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control. Vegetation consists of grasses, clover, willows, aspen, avens, yellow rattle, Indian paintbrush and sedges. - Meadow hawkweed (intermittently) and perennial sow thistle (KP 24+050) observed, recommend herbicide application. - KP 24+790 and 24+490 – Ponding observed, repairs recommended. - Drainage crossing at KP 17+650 is stable, well vegetated and is functioning as it should. - KP 24+550 – Silt fence is no longer required on NW side of drainage, vegetation has stabilized the area, recommend removal. Silt fencing requires repairs on SE side of drainage. - No subsidence or erosion was identified in this ¼. July 14, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, white cockle (KP 24+000), and bull thistle (KP 24+100). August 23, 2018 – Meadow hawkweed (intermittently) observed, recommend herbicide application. Sept 7, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, perennial sow thistle (KP 24+050 and 24+600), and Canada thistle (KP 24+200). Oct 3, 2018 – KP 24+550 – Silt fence removed from NW side of drainage and repaired on SE side of drainage. Issues resolved. - KP 24+790 and 24+940 – Ponding repaired, issues resolved.",,,
NE 34-062-06 W6,Erosion (moderate) 24+700,- erosion noted through the diversion berm - erosion did not appear to be inhibiting vegetation recovery of the ROW,"June 20, 2017 - Vegetation cover on the ROW is 65 to 80% compared to the off ROW control. Vegetation is well established with desirable species found throughout ROW. 2016 vegetation cover issue resolved. - KP 24+550 Silt fence require repairs. - KP 24+500 to KP 24+750 - Rill erosion observed. Recommend installation of erosion control materials. - KP 24+700 – Berm requires repairs. September 14, 2017 – KP 24+980 to 25+000 – Intermittent herbicide application conducted to control perennial sow thistle. September 10, 2017 – KP 24+285 – Marker posts repaired, issue resolved. - KP 24+550 – Silt fence repaired, issue resolved. - KP 24+500 to KP 24+750 - Rill erosion repaired and erosion control materials installed. Issue resolved. - KP 24+700 – Berm repaired and erosion control materials installed. Issue resolved.","July 1, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control. Vegetation consists of grasses, clover, willows, aspen, avens, yellow rattle, Indian paintbrush and sedges. - Meadow hawkweed (intermittently) and perennial sow thistle (KP 24+050) observed, recommend herbicide application. - KP 24+790 and 24+490 – Ponding observed, repairs recommended. - Drainage crossing at KP 17+650 is stable, well vegetated and is functioning as it should. - KP 24+550 – Silt fence is no longer required on NW side of drainage, vegetation has stabilized the area, recommend removal. Silt fencing requires repairs on SE side of drainage. - No subsidence or erosion was identified in this ¼. July 14, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, white cockle (KP 24+000), and bull thistle (KP 24+100). August 23, 2018 – Meadow hawkweed (intermittently) observed, recommend herbicide application. Sept 7, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, perennial sow thistle (KP 24+050 and 24+600), and Canada thistle (KP 24+200). Oct 3, 2018 – KP 24+550 – Silt fence removed from NW side of drainage and repaired on SE side of drainage. Issues resolved. - KP 24+790 and 24+940 – Ponding repaired, issues resolved.",,,
SE 34-062-06,Moderate to High Issues with Plant Growth (moderate) 25+080 to 25+130,- intermittent decreased percent cover of vegetation was noted throughout the quarter section - sparse areas of establishing native vegetation were observed,"June 20, 2017 - Vegetation cover on the ROW is 65 to 80% compared to the off ROW control. Vegetation is well established with desirable species found throughout ROW. 2016 vegetation cover issue resolved. July 14, 2017 - No noxious weeds were identified. September 14, 2017 - No noxious weeds observed in 1/4.","July 1, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control for majority of ¼ section. Various Grasses establishing well along with broadleaf shrubs including raspberry and willows. Desirable vegetation continues to establish on ROW. - Meadow hawkweed (intermittently) observed, recommend herbicide application. - No erosion or subsidence was observed in ¼. July 14, 2018 – Intermittent herbicide application conducted to control meadow hawkweed. August 23, 2018 – No noxious weeds observed. Sept 7, 2018 - No noxious weeds were observed.",,,
SW 35-062-06,Rollback 25+610 to 25+900,,"June 20, 2017 - Access control has not been altered and appears to be functioning effectively. No signs of access onto pipeline ROW.","July 1, 2018 - Rollback between KP25+300 to 25+700 and KP25+850 to 25+950 remains effective with 50-65% cover compared to off ROW control.",,,
SW 35-062-06,Moderate to High Issues with Plant Growth (moderate) 25+130 to 26+035,- intermittent decreased percent cover of vegetation was noted throughout the quarter section - sparse areas of establishing native vegetation were observed,"June 20, 2017 - Vegetation cover on the ROW is 80-100% compared to the off ROW control for most of the 1/4. 2016 vegetation cover issue resolved. - Desirable vegetation continues to establish on ROW.  - Cross drains and diversion berms throughout ¼ are functioning. - KP 25+135 – Perennial sow thistle observed, recommend herbicide application - KP 25+575 - Vegetation well established, silt fencing is no longer required. Recommend removal. July 14, 2017 – Intermittent herbicide application conducted to control meadow hawkweed and perennial sow thistle (KP 25+135) September 14, 2017 – KP 25+480 to 25+500 – Intermittent herbicide application conducted to control perennial sow thistle. Meadow hawkweed is no longer present, issue resolved. September 9, 2017 – KP 25+575 – Silt fence removed, issue resolved.","July 1, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control for majority of ¼ section. Various Grasses establishing well along with broadleaf shrubs including raspberry, rush, sedges, yellow rattle and willows. Desirable vegetation continues to establish on ROW. - Meadow hawkweed (intermittently) and perennial sow thistle (KP 25+175 and 25+135) observed, recommend herbicide application. - Cross drains and berms throughout the ¼ are functioning. July 14, 2018 – Intermittent herbicide application conducted to control meadow hawkweed and perennial sow thistle (KP 25+175 and 25+590). August 23, 2018 – Perennial sow thistle (KP 25+175 and 25+150 to 25+200) observed, recommend herbicide application. Sept 7, 2018 – Intermittent herbicide application conducted to control perennial sow thistle (KP 25+180 and 25+150 to 25+200).",,,
SW 35-062-06,Rare Plant 25+240,"- Macloskeyi’s violet (Viola pallens; S3) individuals were located, E: 383224, N: 6030129 - Issue resolved","June 20, 2017 - Vegetation cover on the ROW is 80-100% compared to the off ROW control for most of the 1/4. 2016 vegetation cover issue resolved. - Desirable vegetation continues to establish on ROW.  - Cross drains and diversion berms throughout ¼ are functioning. - KP 25+135 – Perennial sow thistle observed, recommend herbicide application - KP 25+575 - Vegetation well established, silt fencing is no longer required. Recommend removal. July 14, 2017 – Intermittent herbicide application conducted to control meadow hawkweed and perennial sow thistle (KP 25+135) September 14, 2017 – KP 25+480 to 25+500 – Intermittent herbicide application conducted to control perennial sow thistle. Meadow hawkweed is no longer present, issue resolved. September 9, 2017 – KP 25+575 – Silt fence removed, issue resolved.","July 1, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control for majority of ¼ section. Various Grasses establishing well along with broadleaf shrubs including raspberry, rush, sedges, yellow rattle and willows. Desirable vegetation continues to establish on ROW. - Meadow hawkweed (intermittently) and perennial sow thistle (KP 25+175 and 25+135) observed, recommend herbicide application. - Cross drains and berms throughout the ¼ are functioning. July 14, 2018 – Intermittent herbicide application conducted to control meadow hawkweed and perennial sow thistle (KP 25+175 and 25+590). August 23, 2018 – Perennial sow thistle (KP 25+175 and 25+150 to 25+200) observed, recommend herbicide application. Sept 7, 2018 – Intermittent herbicide application conducted to control perennial sow thistle (KP 25+180 and 25+150 to 25+200).",,,
SW 35-062-06,Rare Plant 25+580,"- Macloskeyi’s violet (Viola pallens; S3) individuals were located (drainage 19), E: 383370, N: 6029823 - Issue resolved.","June 20, 2017 - Vegetation cover on the ROW is 80-100% compared to the off ROW control for most of the 1/4. 2016 vegetation cover issue resolved. - Desirable vegetation continues to establish on ROW.  - Cross drains and diversion berms throughout ¼ are functioning. - KP 25+135 – Perennial sow thistle observed, recommend herbicide application - KP 25+575 - Vegetation well established, silt fencing is no longer required. Recommend removal. July 14, 2017 – Intermittent herbicide application conducted to control meadow hawkweed and perennial sow thistle (KP 25+135) September 14, 2017 – KP 25+480 to 25+500 – Intermittent herbicide application conducted to control perennial sow thistle. Meadow hawkweed is no longer present, issue resolved. September 9, 2017 – KP 25+575 – Silt fence removed, issue resolved.","July 1, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control for majority of ¼ section. Various Grasses establishing well along with broadleaf shrubs including raspberry, rush, sedges, yellow rattle and willows. Desirable vegetation continues to establish on ROW. - Meadow hawkweed (intermittently) and perennial sow thistle (KP 25+175 and 25+135) observed, recommend herbicide application. - Cross drains and berms throughout the ¼ are functioning. July 14, 2018 – Intermittent herbicide application conducted to control meadow hawkweed and perennial sow thistle (KP 25+175 and 25+590). August 23, 2018 – Perennial sow thistle (KP 25+175 and 25+150 to 25+200) observed, recommend herbicide application. Sept 7, 2018 – Intermittent herbicide application conducted to control perennial sow thistle (KP 25+180 and 25+150 to 25+200).",,,
NW 26-062-06,Moderate to High Issues with Plant Growth (high) 26+035 to 26+525 Erosion 26+150,"- decreased percent cover of vegetation was noted throughout the quarter section - sparse areas of establishing native vegetation were observed - moderate erosion rills (20 to 30 cm deep) were noted, recommend the installation of additional erosion control measures - issue repaired fall of 2016","June 20, 2017 -Vegetation cover on ROW is predominantly 0-50% compared to the off ROW control. Desirable vegetation continues to establish on ROW. - No noxious weeds were identified. - Cross drains throughout ¼ are functioning. - Roll back effective at controlling erosion on hill slope near end of 1/4. - KP 26+150 – Rill erosion observed, repairs recommended. July 14, 2017 – KP 26+200 – Picked, bagged and disposed of scentless chamomile. September 11, 2017 – KP 26+150 – Erosion repaired, installed erosion control materials, and repaired silt fence. Issue resolved. September 13, 2017 – No noxious weeds observed, issue resolved.","July 1, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control. Previous low vegetation cover issues resolved. Vegetation consists of grasses, clover, willows, raspberry, avens, bluebell, yarrow, prickly rose and sedges. - Meadow hawkweed (intermittently) observed, recommend herbicide application. - KP 26+150 – Erosion repairs from 2017 require additional erosion control materials. - No additional erosion or subsidence was observed in ¼. July 14, 2018 – Intermittent herbicide application conducted to control meadow hawkweed. August 23 2018 – No noxious weeds observed. Sept 7, 2018 – Herbicide application conducted to control Canada thistle (KP 26+080 and 26+350). Oct 3, 2018 – KP 26+150 – Additional erosion control materials installed, issue resolved.",,,
NE 26-062-06,Moderate to High Issues with Plant Growth (high) 26+525 to 27+165,- decreased percent cover of vegetation was noted throughout the quarter section,"June 20, 2017 - Vegetation cover on ROW is predominantly 0-50% compared to the off ROW control. Desirable vegetation continues to establish on ROW. - No noxious weeds were identified. - Cross drains throughout ¼ are functioning. - KP 27+000 – Vegetation well established, silt fence is no longer required. Recommend removal. July 14, 2017 – Weed control conducted for scentless chamomile (KP 27+080 and 27+090), ragwort tansy (KP 26+600), and meadow hawkweed (KP 26+610). September 9, 2017 - KP 27+000 –Silt fence removed, issue resolved. September 11, 2017 – KP 26+625 – Marker post repaired, issue resolved.  September 13, 2017 – Intermittent herbicide application conducted to control ragwort tansy (KP 26+600), meadow hawkweed (KP 26+610), scentless chamomile (KP 26+650 and 27+150), perennial sow thistle (KP 26+610 to 26+640), and Canada thistle (KP 26+980).","July 1, 2018 - Vegetation cover in the ¼ has increased to 50-65% in the ¼ compared to off ROW control. Previous low vegetation cover issue resolved. Grasses establishing well along with broadleaf shrubs including raspberry, yellow rattle and willows. Desirable vegetation continues to establish on ROW. - Meadow hawkweed (intermittently) observed, recommend herbicide application. - KP 26+640 – Erosion observed, recommend repairs. July 14, 2018 – Intermittent herbicide application conducted to control meadow hawkweed. August 23, 2018 – Yellow toadflax (KP 26+630 and 26+760) and perennial sow thistle (KP 26+550 to 26+650) observed, recommend herbicide application. Sept 7, 2018 – Intermittent herbicide application conducted to control yellow toadflax (KP 26+630 and 26+760) and perennial sow thistle (KP 26+550 to 26+800) Oct 3, 2018 – KP 26+640 – Erosion repaired, issue resolved.",,,
NE 26-062-06,Rare Plant 26+960,"- Macloskeyi’s violet (Viola pallens; S3) and cat-tongue liverwort (formerly snake skin liverwort [Conocephalum salebrosum; S2S4]) individuals were located, E: 384266, N: 6028799; - liverwort (formerly jagged notch wort [Lophozia incisa; S2]) was not found at KP 26+960, E: 384290, N: 6028816 (the individual was found off-ROW prior to construction and the identified individual was collected and removed from the site, therefore the plant could not be located) - Issues resolved.","June 20, 2017 - Vegetation cover on ROW is predominantly 0-50% compared to the off ROW control. Desirable vegetation continues to establish on ROW. - No noxious weeds were identified. - Cross drains throughout ¼ are functioning. - KP 27+000 – Vegetation well established, silt fence is no longer required. Recommend removal. July 14, 2017 – Weed control conducted for scentless chamomile (KP 27+080 and 27+090), ragwort tansy (KP 26+600), and meadow hawkweed (KP 26+610). September 9, 2017 - KP 27+000 –Silt fence removed, issue resolved. September 11, 2017 – KP 26+625 – Marker post repaired, issue resolved.  September 13, 2017 – Intermittent herbicide application conducted to control ragwort tansy (KP 26+600), meadow hawkweed (KP 26+610), scentless chamomile (KP 26+650 and 27+150), perennial sow thistle (KP 26+610 to 26+640), and Canada thistle (KP 26+980).","July 1, 2018 - Vegetation cover in the ¼ has increased to 50-65% in the ¼ compared to off ROW control. Previous low vegetation cover issue resolved. Grasses establishing well along with broadleaf shrubs including raspberry, yellow rattle and willows. Desirable vegetation continues to establish on ROW. - Meadow hawkweed (intermittently) observed, recommend herbicide application. - KP 26+640 – Erosion observed, recommend repairs. July 14, 2018 – Intermittent herbicide application conducted to control meadow hawkweed. August 23, 2018 – Yellow toadflax (KP 26+630 and 26+760) and perennial sow thistle (KP 26+550 to 26+650) observed, recommend herbicide application. Sept 7, 2018 – Intermittent herbicide application conducted to control yellow toadflax (KP 26+630 and 26+760) and perennial sow thistle (KP 26+550 to 26+800) Oct 3, 2018 – KP 26+640 – Erosion repaired, issue resolved.",,,
NE 26-062-06,Noxious Weeds (low) 27+090,- sparse areas of perennial sow thistle (Sonchus arvensis) were identified,"June 20, 2017 - Vegetation cover on ROW is predominantly 0-50% compared to the off ROW control. Desirable vegetation continues to establish on ROW. - No noxious weeds were identified. - Cross drains throughout ¼ are functioning. - KP 27+000 – Vegetation well established, silt fence is no longer required. Recommend removal. July 14, 2017 – Weed control conducted for scentless chamomile (KP 27+080 and 27+090), ragwort tansy (KP 26+600), and meadow hawkweed (KP 26+610). September 9, 2017 - KP 27+000 –Silt fence removed, issue resolved. September 11, 2017 – KP 26+625 – Marker post repaired, issue resolved.  September 13, 2017 – Intermittent herbicide application conducted to control ragwort tansy (KP 26+600), meadow hawkweed (KP 26+610), scentless chamomile (KP 26+650 and 27+150), perennial sow thistle (KP 26+610 to 26+640), and Canada thistle (KP 26+980).","July 1, 2018 - Vegetation cover in the ¼ has increased to 50-65% in the ¼ compared to off ROW control. Previous low vegetation cover issue resolved. Grasses establishing well along with broadleaf shrubs including raspberry, yellow rattle and willows. Desirable vegetation continues to establish on ROW. - Meadow hawkweed (intermittently) observed, recommend herbicide application. - KP 26+640 – Erosion observed, recommend repairs. July 14, 2018 – Intermittent herbicide application conducted to control meadow hawkweed. August 23, 2018 – Yellow toadflax (KP 26+630 and 26+760) and perennial sow thistle (KP 26+550 to 26+650) observed, recommend herbicide application. Sept 7, 2018 – Intermittent herbicide application conducted to control yellow toadflax (KP 26+630 and 26+760) and perennial sow thistle (KP 26+550 to 26+800) Oct 3, 2018 – KP 26+640 – Erosion repaired, issue resolved.",,,
SE 26-062-06,Rollback 27+600,,"June 20, 2017 - Access control has not been altered and appears to be functioning effectively. No signs of access onto pipeline ROW.","July 1, 2018 - Rollback at KP 27+600 remains unchanged and functioning as intended. No evidence of 3rd party use was observed.",,,
SE 26-062-06,Moderate to High Issues with Plant Growth (high),,"June 20, 2017 - Vegetation cover on the ROW is 0-50% compared to the off ROW control for most of the 1/4. Desirable vegetation continues to establish on ROW.  - No noxious weeds identified. - No soil stability issues.  July 14, 2017 - No noxious weeds were identified. September 13, 2017 – Intermittent herbicide application conducted to control ragwort tansy (KP 27+220) and perennial sow thistle (KP 27+240).","July 1, 2018 - Vegetation recovery is a little behind in this ¼ compared to others and is at 50-65% vegetation cover compared to off ROW control. Slow recovery could be attributed to increased construction activity in this area. Vegetation consists of grasses, clover, avens, yarrow, and sedges. - Meadow hawkweed (intermittently), scentless chamomile (KP 27+390), and oxeye daisy (KP 27+490) observed, recommend herbicide application. - KP 27+350 – Erosion observed, repairs recommended. - No subsidence or additional erosion was identified in this ¼. July 14, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, scentless chamomile (KP 27+390), and oxeye daisy (KP 27+490). August 23, 2018 – Scentless chamomile (KP 27+185), Canada thistle (KP 27+315), and perennial sow thistle (KP 27+780) observed, recommend herbicide application. Sept 7, 2018 – Herbicide application conducted to control scentless chamomile (KP 27+185 and 27+820), Canada thistle (KP 27+315), and perennial sow thistle (KP 27+780). Oct 3, 2018 – KP 27+350 – Erosion repairs completed, issue resolved. - KP 27+600 – Installed signs/marker posts are newly installed road crossing.",,,
