Alignment  Sheet,Legal Location,Approximate KP,Tract No(s).,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Enbridge Environmental Inspector Observation(s) in 2012,TERA Observation(s)  in 2012,"Repairs to Date  (2010, 2011, 2012)",Status,Recommended  Measure(s) to Resolve  Issue(s) and Schedule,VEC,GIS,Topic
28,NE 4-32-18,393.0 to 393.1,699.02,Vegetation - Establishment,Identified during spring overflight. Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Moderate vegetation establishment observed near fence on construction right-of-way during ground reconnaissance.,Reseeded in 2010.,Unresolved,Reseed and monitor in 2013.,,W3M,
28,NE 4-32-18,393.0 to 393.3,699,Soils - Contouring,--,Poor contouring observed on construction right-of-way during ground reconnaissance.,Seeding planned for Fall 2012.,"No contouring issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (plowing, discing, etc.) appear to have repaired the issues. No crop growth issues observed.",--,Resolved,None.,,W3M,
29,SW 27-31-17,404.1 to 404.4,717 717.01,Vegetation - Crop Growth,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,No crop growth issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
30,NE 9-31-16,413.8 to 414.6,733.01 733,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Vegetation composition and density equal to off construction right-of-way.,--,Resolved,None.,,W3M,
30,NW 10-31-16,414.6 to 414.8,734,Vegetation - Establishment,Poor vegetation establishment due to ponding observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment due to ponding observed on construction right-of-way during ground reconnaissance.,--,Vegetation composition and density equal to off construction right-of-way.,--,Resolved,None.,,W3M,
30,NW 10-31-16,414.6 to 414.8,734,Vegetation - Weeds,--,"Moderate density of foxtail barley, lamb's-quarters, spear-leaved goosefoot and kochia observed on construction right-of-way during ground reconnaissance.",--,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W3M,
30,NE 1-31-16,419.85,741,Vegetation – Crop Growth,--,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,No crop growth issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W3M,
31,SW 33-30-15,424.9 to 425.3,750,Vegetation - Weeds,"High density of kochia, foxtail barley and lamb's-quarters observed on construction right-of-way during ground reconnaissance.",Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Vegetation comparable to off right-of-way.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W3M,
31,SW 33-30-15,425.4 to 425.5,750,Vegetation - Weeds,"High density of kochia, foxtail barley and lamb's-quarters observed on construction right-of-way during ground reconnaissance.",Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Weeds observed along construction right-of-way.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W3M,
31,SE 33-30-15,425.6 to 425.7,751,Vegetation - Weeds,"Moderate density of kochia, lamb's-quarters and foxtail barley on construction right-of-way.",Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W3M,
31,SE 33-30-15,425.6,751,Vegetation – Rare Plants  bristly mousetail (S3),One plant observed on northern boundary.,Located 20 plants (in fruit and most with >50% seed dispersal) in a 20 m by 8 m area.,--,Location flooded and no plants observed. There is a dense cover of agronomic wheatgrasses and it seems that the area is being grazed less than in previous years making it less likely for bristly mousetail to persist at this location. Rare plant great basin downingia (S1S2) observed at this location (KP 425.7) in 2011 was not observed in 2012.,--,Unresolved,Mow during 2012 growing season and monitor early 2013.,,W3M,
32,SW 13-30-14,440.3 to 440.6,773,Soils - Subsidence,Issue reported by construction contractor.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,--,"No subsidence issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (plowing, discing, etc.) appear to have repaired the issues. No crop growth issues observed.",Subsidence repaired in 2010.,Resolved,None.,,W3M,
32,SE 8-30-13,445.35,781,Soils - Subsidence,Identified during spring overflight. Moderate subsidence observed on construction right-of-way during ground reconnaissance.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,--,"No subsidence issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (plowing, discing, etc.) appear to have repaired the issues. No crop growth issues observed.",Subsidence repaired in 2010.,Resolved,None.,,W3M,
32,NW 35-29-13,449.6 to 449.85,788,Soils - Subsidence,--,"Landowner expressed concern of subsidence throughout the entire quarter-section; however, land access was not granted by landowner at time of survey.",--,No subsidence issues observed on construction right-of-way during ground reconnaissance. No crop growth issues observed.,Subsidence repaired in 2011.,Resolved,None.,,W3M,
32,NW 35-29-13,449.6 to 449.85,788,Vegetation – Crop Growth,--,--,--,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2011.,Unresolved,Reassess soil parameters in 2013.,,W3M,
33,NE 35-29-13,449.85 to 450.8,789,Soils - Subsidence,--,"Landowner expressed concern of subsidence throughout the entire quarter-section; however, land access was not granted by landowner at time of survey.",--,No subsidence issues observed on construction right-of-way during ground reconnaissance.,Area disced in fall 2011.,Resolved,None.,,W3M,
33,NE 35-29-13,449.85 to 450.8,789,Vegetation – Crop Growth,--,--,--,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2011.,Unresolved,Reassess soil parameters in 2013.,,W3M,
33,NE 35-29-13,450.8,789,Soils - Subsidence,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,"Landowner expressed concern of subsidence throughout the entire quarter-section; however, land access was not granted by landowner at time of survey.",--,No subsidence issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W3M,
33,SW 28-29-12,456.1 to 456.2,799,Soils - Topsoil Loss,Minor topsoil loss and reduced crop growth observed on construction right-of-way during ground reconnaissance.,Land access not granted by landowner at time of ground reconnaissance.,--,Land access not granted by landowner at time of ground reconnaissance.,--,Unresolved,"Monitor crop growth in 2013. Source and add clean topsoil to address topsoil loss in 2013, if warranted.",,W3M,
33,SW 27-29-12,458.0,801,Soils - Subsidence,Issue reported by construction contractor.,Land access not granted by landowner at time of ground reconnaissance.,--,Minor soil subsidence (approx. 20 m long) observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Unresolved,Repair subsidence and monitor in 2013.,,W3M,
33,NW 23-29-12,459.6 to 459.65,804,Vegetation - Crop Growth,Reduced crop growth on construction right-of-way.,Land access not granted by landowner at time of ground reconnaissance.,--,Land access not granted by landowner at time of ground reconnaissance.,--,Unresolved,Monitor in 2013.,,W3M,
34,SW 17-29-11,M 0.8 to M 1.7,813,Soils - Subsidence,Issue reported by construction contractor.,Land access not granted by landowner at time of ground reconnaissance.,--,No subsidence issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired in 2010.,Resolved,None.,,W3M,
34,SE 17-29-11,M 1.75 to M 1.8,814 814.01,Soils - Subsidence,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,Land access not granted by landowner at time of ground reconnaissance.,--,Land access not granted by landowner at time of ground reconnaissance.,Subsidence repaired in 2010.,Unresolved,Monitor in 2013.,,W3M,
34,NE 8-29-11,M 1.8 to M 2.6,815,Vegetation - Weeds Land and Resource Use - Certified/Registered Seed Grower,"Moderate density of foxtail barley, flixweed and lamb's-quarters on construction right-of-way.",Moderate density of foxtail barley and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,No perennial sow-thistle noted. Foxtail barley densities are comparable between on and off right-of-way.,Low to moderate densities of Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Canada thistle spot sprayed in summer 2012.,Unresolved,Control weeds and monitor in 2013.,,W3M,
34,NE 8-29-11,M 2.0,815,Soils - Subsidence,--,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,Subsidence may be third-party related. There are signs of a recent integrity dig in the vicinity of the subsidence and foxtail barley. Requires follow up with MGM Land Services.,Moderate subsidence (approx. 1 m x 0.5 m x 12 m) observed on construction right-of-way during ground reconnaissance.,--,Unresolved,"Repair subsidence, if warranted, and monitor in 2013.",,W3M,
34,NW 29-9-29-W3,M 2.6 to 2.7,816,Vegetation – Weeds,--,--,Moderate density of Canada thistle on construction right-of-way.,"Low to moderate densities of perennial sow-thistle, Canada thistle, foxtail barley, curled dock, flixweed, wild buckwheat, and common goat’s-beard observed on construction right-of-way during ground reconnaissance.",Canada thistle spot sprayed in summer 2012.,Unresolved,Control weeds and monitor in 2013.,,W3M,
34,NW 9-29-11,M 3.1 to M 3.6,816,Vegetation - Weeds Land and Resource  Use - Certified/Registered Seed Grower,"Moderate density of flixweed, common groundsel and redroot pigweed on construction right-of-way.",Moderate density of perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,"Weed densities similar on and off right-of-way June 7, 2012.",Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W3M,
34,NE 9-29-11,M 3.6,817,Soils - Subsidence,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,Land access not granted by landowner at time of ground reconnaissance.,--,Land access not granted by landowner at time of ground reconnaissance.,Subsidence repaired in 2010.,Unresolved,Monitor in 2013.,,W3M,
34,NE 9-29-11-W3,M 3.9,817,Vegetation - Weeds,--,--,Isolated patches of Canada thistle observed on the right-of-way.,Land access not granted by landowner at time of ground reconnaissance.,--,Unresolved,Control weeds and monitor in 2013.,,W3M,
34,NW 10-29-11 to  SE 10-29-11,M 4.4 to  470.1,818 819 820,Soils - Subsidence,--,Minor subsidence observed intermittently on construction right-of-way during ground reconnaissance.,--,"No subsidence issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (plowing, discing, etc.) appear to have repaired the issues. No crop growth issues observed.",--,Resolved,None.,,W3M,
