Quarter Section,Tract,Land Use,KHE Land ID,Year 1 Issues,Repaired Year 1,Year 2 Issues,Repaired Year 2,Year 3 Issues,Repaired Year 3,Year 3 Current Recommendations,Year 3 Rationales,Year 3 PCEM Status,VEC,GIS,Topic
SE 25-17-28 W3M,BESK-0058.0,Cultivated,LAND ID 065,Incomplete PCEM assessment,--,--,--,Incomplete Year 3 PCEM assessment,--,Monitor Year 5,Land under fallow during Year 3 PCEM.,MONITOR,,,
NE 24-17-28 W3M,BESK-0059.0,Hay,LAND ID 066,Compaction,--,--,--,Compaction,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 24-17-28 W3M,BESK-0059.0,Hay,LAND ID 066,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 24-17-28 W3M,BESK-0059.0,Hay,LAND ID 066,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 19-17-27 W3M,BESK-0060.0,Cultivated,LAND ID 067,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 19-17-27 W3M,BESK-0060.0,Cultivated,LAND ID 067,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 19-17-27 W3M,BESK-0061.0,Cultivated,LAND ID 068,--,--,--,--,Subsidence_2,--,Monitor year 5,Confirm conditions are stable.,MONITOR,,,
SW 19-17-27 W3M,BESK-0061.0,Cultivated,LAND ID 068,--,--,--,--,Subsidence_3,--,Monitor year 5,Confirm conditions are stable.,MONITOR,,,
SW 19-17-27 W3M,BESK-0061.0,Cultivated,LAND ID 068,"Erosion (wind, water)",Issue Repaired,--,--,"Erosion (wind, water)_1",--,Monitor Year 5,Land under fallow during Year 3 PCEM.,MONITOR,,,
SW 19-17-27 W3M,BESK-0061.0,Cultivated,LAND ID 068,Incomplete PCEM assessment,--,--,--,Incomplete Year 3 PCEM assessment,--,Monitor Year 5,Land under fallow during Year 3 PCEM.,MONITOR,,,
SW 19-17-27 W3M,BESK-0061.0,Improved Pasture,LAND ID 069,--,--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 19-17-27 W3M,BESK-0061.0,Improved Pasture,LAND ID 069,--,--,--,--,Incomplete Year 1 PCEM assessment,--,Resolved,Incomplete Year 1 assessment.,RESOLVED,,,
SW 19-17-27 W3M,BESK-0061.0,Improved Pasture,LAND ID 069,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 19-17-27 W3M,BESK-0061.0,Improved Pasture,LAND ID 069,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 19-17-27 W3M,BESK-0062.0,Cultivated,LAND ID 070,--,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
,,,,"Erosion (wind, water)",Issue Repaired,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,,,,
,,,,Incomplete PCEM assessment,--,--,--,Incomplete Year 1 PCEM assessment,--,Resolved,Incomplete Year 1 assessment.,,,,
NE 18-17-27 W3M,BESK-0063.0,Cultivated,LAND ID 071,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 18-17-27 W3M,BESK-0064.0,Cultivated,LAND ID 072,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 17-17-27 W3M,BESK-0065.0,Cultivated,LAND ID 073,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 08-17-27 W3M,BESK-0066.0,Cultivated,LAND ID 074,--,--,--,--,Compaction,--,No Further Action Recommended,Issue expected to improve with agricultural practices.,RESOLVED,,,
NW 08-17-27 W3M,BESK-0066.0,Cultivated,LAND ID 074,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 08-17-27 W3M,BESK-0067.0,Cultivated,LAND ID 075,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
SE 08-17-27 W3M,BESK-0068.0,Cultivated,LAND ID 076,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 09-17-27 W3M,BESK-0069.0,Cultivated,LAND ID 077,Rutting,--,--,--,Rutting,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
SW 09-17-27 W3M,BESK-0069.0,Cultivated,LAND ID 077,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 04-17-27 W3M,BESK-0070.0,Cultivated,LAND ID 078,Admixing,--,--,--,Admixing_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 04-17-27 W3M,BESK-0070.0,Cultivated,LAND ID 078,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 04-17-27 W3M,BESK-0071.0,Cultivated,LAND ID 079,Admixing,--,--,--,Admixing_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 04-17-27 W3M,BESK-0071.0,Cultivated,LAND ID 079,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 04-17-27 W3M,BESK-0072.0,Cultivated,LAND ID 080,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 04-17-27 W3M,BESK-0073.0,Cultivated,LAND ID 081,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 03-17-27 W3M,BESK-0074.0,Cultivated,LAND ID 082,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 34-16-27 W3M,BESK-0075.0,Cultivated,LAND ID 083,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 34-16-27 W3M,BESK-0076.0,Cultivated,LAND ID 084,Site visit,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
SE 34-16-27 W3M,BESK-0077.0,Cultivated,LAND ID 085,Coarse fragments,--,--,--,Coarse fragments,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NE 27-16-27 W3M,BESK-0078.0,Cultivated,LAND ID 086,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 26-16-27 W3M,BESK-0079.0,Cultivated,LAND ID 087,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 26-16-27 W3M,BESK-0080.0,Cultivated,LAND ID 088,Site visit,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
SE 26-16-27 W3M,BESK-0081.0,Cultivated,LAND ID 089,--,--,--,--,"Erosion (wind, water)_1",--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
SE 26-16-27 W3M,BESK-0081.0,Cultivated,LAND ID 089,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
NE 23-16-27 W3M,BESK-0082.0,Native prairie,LAND ID 090,--,--,Weed concern_1,Issue Repaired,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 24-16-27 W3M,BESK-0083.0,Cultivated,LAND ID 091,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 24-16-27 W3M,BESK-0084.0,Cultivated,LAND ID 092,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 24-16-27 W3M,BESK-0084.0,Cultivated,LAND ID 092,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 13-16-27 W3M,BESK-0085.0,Native prairie,LAND ID 093,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 13-16-27 W3M,BESK-0085.0,Native prairie,LAND ID 093,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 13-16-27 W3M,BESK-0086.0,Native prairie,LAND ID 094,Admixing,--,--,--,Admixing_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,REPAIR,,,
NE 13-16-27 W3M,BESK-0086.0,Native prairie,LAND ID 094,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve through natural processes.,REPAIR,,,
NE 13-16-27 W3M,BESK-0086.0,Native prairie,LAND ID 094,Weed concern,--,--,--,Weed concern_1,--,Repair,Not expected to recover without repair.,REPAIR,,,
SE 13-16-27 W3M,BESK-0087.0,Native prairie,LAND ID 095,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 13-16-27 W3M,BESK-0087.0,Native prairie,LAND ID 095,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 18-16-26 W3M,BESK-0088.0,Native prairie,LAND ID 096,--,--,--,--,Subsidence_1,--,No Further Action Recommended,Issue not recommended for repair.,RESOLVED,,,
SW 18-16-26 W3M,BESK-0088.0,Native prairie,LAND ID 096,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 18-16-26 W3M,BESK-0088.0,Native prairie,LAND ID 096,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 07-16-26 W3M,BESK-0089.0,Cultivated,LAND ID 097,--,--,--,--,Admixing_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
NW 07-16-26 W3M,BESK-0089.0,Cultivated,LAND ID 097,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
SW 07-16-26 W3M,BESK-0090.0,Native prairie,LAND ID 098,--,--,--,--,Subsidence_2,--,No Further Action Recommended,Issue not recommended for repair.,RESOLVED,,,
SW 07-16-26 W3M,BESK-0090.0,Native prairie,LAND ID 098,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 07-16-26 W3M,BESK-0090.0,Native prairie,LAND ID 098,Subsidence,Issue Repaired,--,--,Subsidence_1,--,No Further Action Recommended,Issue not recommended for repair.,RESOLVED,,,
SW 07-16-26 W3M,BESK-0090.0,Native prairie,LAND ID 098,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 06-16-26 W3M,BESK-0091.0,Cultivated,LAND ID 099,--,--,--,--,Admixing_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
NW 06-16-26 W3M,BESK-0091.0,Cultivated,LAND ID 099,--,--,--,--,"Erosion (wind, water)_1",--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
NW 06-16-26 W3M,BESK-0091.0,Cultivated,LAND ID 099,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
SW 06-16-26 W3M,BESK-0092.0,Cultivated,LAND ID 100,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Monitor Year 5,Land under fallow during Year 3 PCEM.,MONITOR,,,
SW 06-16-26 W3M,BESK-0092.0,Cultivated,LAND ID 100,Incomplete PCEM assessment,--,--,--,Incomplete Year 3 PCEM assessment,--,Monitor Year 5,Land under fallow during Year 3 PCEM.,MONITOR,,,
NW 31-15-26 W3M,BESK-0093.0,Cultivated,LAND ID 101,--,--,--,--,Compaction,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
NW 31-15-26 W3M,BESK-0093.0,Cultivated,LAND ID 101,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
SW 31-15-26 W3M,BESK-0094.0,Cultivated,LAND ID 102,--,--,--,--,Subsidence_1,--,No Further Action Recommended,Issue expected to improve with agricultural practices.,MONITOR,,,
SW 31-15-26 W3M,BESK-0094.0,Cultivated,LAND ID 102,--,--,--,--,Weed concern_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
NW 30-15-26 W3M,BESK-0095.0,Cultivated,LAND ID 103,Site visit,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
SW 30-15-26 W3M,BESK-0096.0,Improved Pasture,LAND ID 104,--,--,Weed concern_1,--,Weed concern_1,Issue Repaired,Monitor Year 5,Confirm conditions are stable.,MONITOR,,,
SW 30-15-26 W3M,BESK-0096.0,Cultivated,LAND ID 105,--,--,"Erosion (wind, water)_1",--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 19-15-26 W3M,BESK-0097.0,Cultivated,LAND ID 106,--,--,--,--,Admixing_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
NW 19-15-26 W3M,BESK-0097.0,Cultivated,LAND ID 106,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
SW 19-15-26 W3M,BESK-0098.0,Cultivated,LAND ID 107,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
SE 19-15-26 W3M,BESK-0099.0,Cultivated,LAND ID 108,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 18-15-26 W3M,BESK-0100.0,Hay,LAND ID 109,Contouring,--,--,--,Contouring_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NE 18-15-26 W3M,BESK-0100.0,Hay,LAND ID 109,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 18-15-26 W3M,BESK-0100.0,Hay,LAND ID 109,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 18-15-26 W3M,BESK-0100.0,Hay,LAND ID 109,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 17-15-26 W3M,BESK-0101.0,Cultivated,LAND ID 110,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 17-15-26 W3M,BESK-0102.0,Cultivated,LAND ID 111,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 17-15-26 W3M,BESK-0102.0,Native prairie,LAND ID 112,--,--,--,--,Contouring_1,--,No Further Action Recommended,Issue not recommended for repair.,RESOLVED,,,
SW 17-15-26 W3M,BESK-0102.0,Native prairie,LAND ID 112,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 08-15-26 W3M,BESK-0103.0,Cultivated,LAND ID 113,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 08-15-26 W3M,BESK-0103.0,Cultivated,LAND ID 113,Subsidence,--,--,--,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NW 08-15-26 W3M,BESK-0103.0,Hay,LAND ID 114,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 08-15-26 W3M,BESK-0103.0,Hay,LAND ID 114,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 08-15-26 W3M,BESK-0104.0,Native prairie,LAND ID 115,Contouring,Issue Repaired,--,--,Contouring_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
SW 08-15-26 W3M,BESK-0104.0,Native prairie,LAND ID 115,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 08-15-26 W3M,BESK-0104.0,Native prairie,LAND ID 115,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 08-15-26 W3M,BESK-0104.0,Native prairie,LAND ID 115,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 08-15-26 W3M,BESK-0104.0,Hay,LAND ID 116,Contouring,Issue Repaired,--,--,Contouring_1,--,No Further Action Recommended,Issue not recommended for repair.,RESOLVED,,,
SW 08-15-26 W3M,BESK-0104.0,Hay,LAND ID 116,"Erosion (wind, water)",Issue Repaired,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 08-15-26 W3M,BESK-0104.0,Hay,LAND ID 116,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 08-15-26 W3M,BESK-0104.0,Hay,LAND ID 116,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 08-15-26 W3M,BESK-0105.0,Hay,LAND ID 117,--,--,Contouring_1,--,Contouring_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
SE 08-15-26 W3M,BESK-0105.0,Hay,LAND ID 117,--,--,"Erosion (wind, water)_1",--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 08-15-26 W3M,BESK-0105.0,Hay,LAND ID 117,--,--,Seed mix/Land use,--,Seed mix/Land use,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 08-15-26 W3M,BESK-0105.0,Hay,LAND ID 117,--,--,Vegetation establishment_1,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 05-15-26 W3M,BESK-0106.0,Cultivated,LAND ID 118,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 05-15-26 W3M,BESK-0106.0,Cultivated,LAND ID 118,Subsidence,Issue Repaired,--,--,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
SE 05-15-26 W3M,BESK-0107.0,Cultivated,LAND ID 119,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 04-15-26 W3M,BESK-0108.1,Cultivated,LAND ID 120,Site visit,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
