Legal Location (W4),1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2014) Issue(s),3<s>rd</s> Year (2016) PCRM Assessment and Work Completed,4th Year (2017) PCRM Assessment and Work Completed,5th Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
SW-20-80-6,,,"July 10, 2016 - Vegetation is well established with desirable species throughout ROW. Good establishment of grasses and shrubs.  - No erosion or subsidence issues. - No noxious weeds identified. - Diversion berms are vegetated and functioning.   Sept 14, 2016 - 70-80% vegetation established compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle (KP 70+700).","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence issues Sept 14, 2017 - Treed swamp on ROW from KP 71+582 to 71+640 appears to be at full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation establishment on ROW consisting of herbaceous graminoids, alder and willows. Hydrophytic vegetation emerging across disturbed area (common cattail). - No noxious weeds identified in wetland. - Trench crown present through wetland on ROW; hydrology maintained across pipeline ROW due to sufficient breaks in the crown. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through vegetation growth. High humification occurring in wetland through decomposing leaf litter. - Wetland exhibiting semi saturated conditions; no standing water present in wetland. - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - Wetland has achieved pre-construction contours. Conifer species to emerge onto ROW over time as a tertiary successional species; leave for natural recovery. No net loss of wetland function was observed.","July 04, 2018 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. Excellent establishment of willows throughout ROW.  - Diversion berms are present and stable.  - No erosion or subsidence on tract.  - No noxious weeds present.  August 27, 2018 - Treed swamp on ROW from KP 71+582 to 71+640 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland appears to be at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of herbaceous graminoids, willow, alder, Labrador tea common cattail and mosses. - No noxious weeds were identified within wetland. - Trench crown present throughout wetland with sufficient breaks for hydrology to be maintained across ROW; no issues of hydrologic connectivity were observed. - Substrate within wetland appears healthy with uniform vegetation cover and hydrology throughout. Peat accumulation expected to be present within substrate. - Wetland exhibiting semi- to fully-saturated conditions with intermittent surface water emergence present throughout wetland. - Wetland providing good habitat opportunities through the presence of snags, standing water and good vegetation cover. - Wetland has achieved pre-construction contours.",,,
SE-20-80-6,Unnamed Watercourse (06-WC-01),,"June 20, 2016 watercourse- No terrain instability was observed. ·Soil and slopes surrounding watercourse appear to be stable. ·Good vegetation establishment was observed on the banks of this watercourse crossing.   Sept 14, 2016 - No noxious weeds observed within tract. - Stood up marker posts that had fallen over at KP 72+250. - Missing TC signs at KP 71+850 and KP 71+600 crossings. Marker posts are in place. Recommend installing signs. Sept 20, 2016 - Installed TC sign at east side of KP 71+850. Issue resolved.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - Banks are stable and vegetated. - No erosion or subsidence issues. Sept 14, 2017 - Treed swamp on ROW from KP 71+640 to 71+806 appears to be at full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation establishment on ROW consisting of herbaceous graminoids, alder and willows. Hydrophytic vegetation emerging across disturbed area (common cattail). - No noxious weeds identified in wetland. - Trench crown present through wetland on ROW; hydrology maintained across pipeline ROW due to sufficient breaks in the crown. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through vegetation growth. High humification occurring in wetland through decomposing leaf litter. - Wetland exhibiting semi-saturated conditions with intermittent areas of standing emergence. - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - Wetland has achieved pre-construction contours. Conifer species to emerge onto ROW over time as a tertiary successional species; leave for natural recovery. No net loss of wetland function was observed.","July 4, 2018 - Unnamed Watercourse (06-WC-01 - Banks are stable and well vegetated. - Water is high due to recent rain.  August 27, 2018 - Treed swamp on ROW from KP 71+640 to 71+806 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland appears to be at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of herbaceous graminoids, willow, alder, Labrador tea and mosses. - No noxious weeds were identified within wetland. - Trench crown present throughout wetland with sufficient breaks for hydrology to be maintained across ROW; no issues of hydrologic connectivity were observed. - Substrate within wetland appears healthy with uniform vegetation cover and hydrology throughout. Peat accumulation expected to be present within substrate. - Wetland exhibiting semi-saturated conditions with no surface water emergence present throughout wetland. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours.",,,
SE-20-80-6,,,"July 10, 2016 - Vegetation is well established with desirable species throughout ROW. Good establishment of grasses and shrubs.  - No erosion or subsidence issues. - Intermittent herbicide application conducted to control narrow leaved hawks beard along ditch line throughout quarter. - KP 72+150 – Diversion berm requires repairs. Recommend re contouring berm with hand tools and installing erosion control materials. Sept 14, 2016 - No noxious weeds observed within tract.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence issues - Treed swamp on ROW from KP 71+876 to 72+064 appears to be at full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation establishment on ROW consisting of herbaceous graminoids, alder and willows. Hydrophytic vegetation emerging across disturbed area (common cattail). - No noxious weeds identified in wetland. - Trench crown present through wetland on ROW; hydrology maintained across pipeline ROW due to sufficient breaks in the crown.  No subsidence or erosional issues were identified in wetland. - Substrate in wetland appears healthy through vegetation growth.  High humification occurring in wetland through decomposing leaf litter. - Wetland exhibiting semi-saturated conditions with intermittent areas of standing emergence. - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - Wetland has achieved pre-construction contours. Conifer species to emerge onto ROW over time as a tertiary successional species; leave for natural recovery. No net loss of wetland function was observed.","July 04, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Clover, Vetch and Aspens. - No erosion or subsidence on tract.  - No noxious weeds present. Aug 6, 2018 – KP 71+500 – Perennial sow thistle observed. Herbicide application conducted to control perennial sow thistle. August 27, 2018 - Treed swamp on ROW from KP 71+876 to 72+064 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland appears to be at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of herbaceous graminoids, willow, alder, Labrador tea and mosses. - No noxious weeds were identified within wetland. - Trench crown present throughout wetland with sufficient breaks for hydrology to be maintained across ROW; no issues of hydrologic connectivity were observed.",,,
SW-21-80-6,,,"June 22, 2016 – Intermittent narrow leaved hawks beard, recommend implementation of control measures. July 10, 2016 - Vegetation is well established with desirable species throughout ROW. Good establishment of grasses and shrubs.  - No erosion or subsidence issues. - Intermittent herbicide application conducted to control narrow leaved hawks beard and scentless chamomile (KP 73+000 to 73+050).   Sept 14, 2016 - No noxious weeds observed within tract.  No erosion concerns observed within tract during assessment.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - Noxious weeds no longer present, issue resolved. - No erosion or subsidence issues","July 04, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. - No erosion or subsidence on tract.  - No noxious weeds present.",,,
SE-21-80-6,,,"June 22, 2016 – Intermittent narrow leaved hawks beard, recommend implementation of control measures. July 10, 2016 - Vegetation is well established with desirable species throughout ROW. Good establishment of grasses and shrubs.  - No erosion or subsidence issues. - Intermittent herbicide application conducted to control narrow leaved hawks beard and scentless chamomile.  Sept 14, 2016 - 75-85% vegetation established compared to off ROW. - No noxious weeds observed within tract. - No erosion concerns observed within tract during assessment.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW.  - Noxious weeds no longer present, issue resolved. - No erosion or subsidence issues.","July 04, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. - No erosion or subsidence on tract.  - No noxious weeds present.",,,
NE-21-80-6,,,"June 22, 2016 – Intermittent narrow leaved hawks beard, recommend implementation of control measures. July 10, 2016 - Vegetation is well established with desirable species throughout ROW. Good establishment of grasses and shrubs.  - No erosion or subsidence issues. - Intermittent herbicide application conducted to control narrow leaved hawks beard and scentless chamomile.  Sept 14, 2016 - 75-85% vegetation established compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle (KP 73+500 and KP 74+200).","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - Noxious weeds no longer present, issue resolved. - No erosion or subsidence issues.","July 04, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. - No erosion or subsidence on tract.  Aug 6, 2018 – KP 73+500 – Herbicide application conducted to control perennial sow thistle.",,,
NW-22-80-6,,,"June 22, 2016 – Intermittent narrow leaved hawks beard, recommend implementation of control measures. July 10, 2016 - Vegetation is well established with desirable species throughout ROW. Good establishment of grasses and shrubs.  - No erosion or subsidence issues. - Intermittent herbicide application conducted to control narrow leaved hawks beard, perennial sow thistle and scentless chamomile.   Sept 14, 2016 - 75-85% vegetation established compared to off ROW. - Intermittent herbicide application conducted to perennial sow thistle (KP 74+315).","Aug 15, 2017 - Vegetation established at 65-80% of off ROW. - No erosion or subsidence issues - 77+300 Marker signs/posts down, recommend repairs. - Noxious weeds no longer present, issue resolved. Sept 16, 2017 - KP 77+300 – Marker posts repaired, issue resolved.","July 04, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. High density of aspens across ROW.  - No erosion or subsidence on tract.  - No noxious weeds present.",,,
NW-27-80-6,Forested  Ditch erosion / Noxious Weed / Listed Plant,Erosion control in place but requires replacement. Repaired in winter 2014. Perennial sow-thistle (Sonchus arvensis) population observed.  Listed plant location TLRS01 inspected and presence of ostrich fern (Matteuccia struthiopteris) confirmed.  Monitor in 2015 and control weeds as required. Listed plant issue resolved.,"June 22, 2016 – Intermittent narrow leaved hawks beard, recommend implementation of control measures. July 10, 2016 - Vegetation is well established with desirable species throughout ROW. Good establishment of grasses and shrubs. - No erosion or subsidence issues. - Diversion berms are well vegetated and functioning.  - Intermittent herbicide application conducted to control narrow leaved hawk’s beard, perennial sow thistle (KP 74+800) and scentless chamomile (KP 75+000 – 75+050 at foreign line crossing and KP 74+650).  Sept 14, 2016 - 75-85% vegetation established compared to off ROW. - Seasonal drain runs west to east along the north boundary of ROW at KP 75+450. - Sediment and erosion control berms at KP 75+350 slope are functional and well vegetated. - Intermittent herbicide application conducted to perennial sow thistle (KP 75+070). - Erosion noted in 2014 is no longer present, issue resolved.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW. - No erosion or subsidence issues Sept 14, 2017 - Shrubby swamp on ROW from KP 74+851 to 74+971 appears to be at full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation establishment on ROW consisting of herbaceous graminoids, alder and willows. Hydrophytic vegetation emerging across disturbed area (common cattail, rush). - No noxious weeds identified in wetland. Previous issues resolved. - Trench crown present through wetland on ROW; hydrology maintained across pipeline ROW due to sufficient breaks in the crown. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through vegetation growth. High humification occurring in wetland through decomposing leaf litter. - Wetland exhibiting semi-saturated conditions with intermittent areas of standing emergence. - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - Wetland has achieved pre-construction contours. Conifer species to emerge onto ROW over time as a tertiary successional species; leave for natural recovery. No net loss of wetland function was observed.","July 04, 2018 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. - No erosion or subsidence on tract.  - No noxious weeds present. August 27, 2018 - Shrubby swamp on ROW from KP 74+851 to 74+971 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland appears to be at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of herbaceous graminoids, willow, alder and common cattail. - No noxious weeds were identified within wetland. - Trench crown present throughout wetland with sufficient breaks for hydrology to be maintained across ROW; no issues of hydrologic connectivity were observed. - Substrate within wetland appears healthy with uniform vegetation cover and hydrology throughout. Peat accumulation expected to be present within substrate. - Wetland exhibiting semi- to fully-saturated conditions with intermittent surface water emergence present throughout wetland. - Wetland providing good habitat opportunities through the presence of snags, standing water and good vegetation cover. - Wetland has achieved pre-construction contours.",,,
SW-27-80-6,,,"June 22, 2016 – Intermittent narrow leaved hawks beard, recommend implementation of control measures. July 10, 2016 - Vegetation is well established with desirable species throughout ROW. Good establishment of grasses and shrubs. - No erosion or subsidence issues. - Diversion berms are well vegetated and functioning.  - Intermittent herbicide application conducted to control narrow leaved hawk’s beard.  Sept 14, 2016 - 75-85% vegetation established compared to off ROW. - Intermittent herbicide application conducted to perennial sow thistle (KP 76+650).","Aug 15, 2017 - Vegetation established at 65-80% of off ROW. - No erosion or subsidence issues. Sept 14, 2017 - Shrubby swamp on ROW from KP 74+851 to 74+971 appears to be at full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation establishment on ROW consisting of herbaceous graminoids, alder and willows. Hydrophytic vegetation emerging across disturbed area (common cattail, rush). - No noxious weeds identified in wetland. Previous issues resolved. - Trench crown present through wetland on ROW; hydrology maintained across pipeline ROW due to sufficient breaks in the crown. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through vegetation growth. High humification occurring in wetland through decomposing leaf litter. - Wetland exhibiting semi-saturated conditions with intermittent areas of standing emergence. - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - Wetland has achieved pre-construction contours. Conifer species to emerge onto ROW over time as a tertiary successional species; leave for natural recovery. No net loss of wetland function was observed.","July 04, 2018 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. - No erosion or subsidence on tract.  - No noxious weeds present.  August 27, 2018 - Shrubby swamp on ROW from KP 74+851 to 74+971 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland appears to be at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of herbaceous graminoids, willow, alder and common cattail. - No noxious weeds were identified within wetland. - Trench crown present throughout wetland with sufficient breaks for hydrology to be maintained across ROW; no issues of hydrologic connectivity were observed. - Substrate within wetland appears healthy with uniform vegetation cover and hydrology throughout. Peat accumulation expected to be present within substrate. - Wetland exhibiting semi- to fully-saturated conditions with intermittent surface water emergence present throughout wetland. - Wetland providing good habitat opportunities through the presence of snags, standing water and good vegetation cover. - Wetland has achieved pre-construction contours.",,,
NE-27-80-6,,,"June 22, 2016 – Intermittent narrow leaved hawks beard, recommend implementation of control measures. - Wetland observed to be on an acceptable trajectory of reaching pre-construction functional condition. Pre-construction contours restored. No indication of excessive ponded water or impeded flow due to the construction ROW. Continued monitoring of vegetation is recommended July 10, 2016 - Vegetation is well established with desirable species throughout ROW. Good establishment of sedge, willows and shrubs. - No erosion or subsidence issues. - Intermittent herbicide application conducted to control perennial sow thistle and narrow leaved hawks beard through-out tract.  Sept 14, 2016 - 75-85% vegetation established compared to off ROW. - - Intermittent herbicide application conducted to control perennial sow thistle (KP 76+280 and 76+400).","Aug 15, 2017 - Vegetation established at 80-100% of off ROW.  - KP 75+500 Erosion along edge of ROW, recommend repairs. Sept 14, 2017 - Treed swamp on ROW from KP 76+211 to 76+634 appears to be at full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation establishment on ROW consisting of herbaceous graminoids, alder and willows. Hydrophytic vegetation emerging across disturbed area (common cattail, rush). - No noxious weeds identified in wetland. Previous issues resolved. - Trench crown present through wetland on ROW; hydrology maintained across pipeline ROW due to sufficient breaks in the crown. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through vegetation growth. High humification occurring in wetland through decomposing leaf litter. - Wetland exhibiting semi-saturated conditions; no standing water present in wetland. - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - Wetland has achieved pre-construction contours. Conifer species to emerge onto ROW over time as a tertiary successional species; leave for natural recovery. No net loss of wetland function was observed. Sept 15, 2017 – KP 75+500 – Erosion repaired, monitor in 2018.","June 26, 2018 – KP 75+500 - Previously noted erosion is vegetated and stable. Issue resolved. - KP 75+600 – Perennial sow thistle observed, recommend herbicide application. August 27, 2018 - Treed swamp on ROW from KP 76+211 to 76+634 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland appears to be at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of herbaceous graminoids, willow, alder and common cattail. - No noxious weeds were identified within wetland. - Trench crown present throughout wetland with sufficient breaks for hydrology to be maintained across ROW; no issues of hydrologic connectivity were observed. - Substrate within wetland appears healthy with uniform vegetation cover and hydrology throughout. Peat accumulation expected to be present within substrate. - Wetland exhibiting semi- to fully-saturated conditions with intermittent surface water emergence present throughout wetland. - Wetland providing good habitat opportunities through the presence of snags, standing water and good vegetation cover. - Wetland has achieved pre-construction contours. Aug 6, 2018 – KP 75+600 – Herbicide application conducted to control perennial sow thistle.",,,
NW-26-80-6,Treed Wetland/ Forested  Ineffective spread of woody debris / Listed plant,"Powerline activity – woody materials have been moved to accommodate power pole and wire reel laydown yard. Rollback was replaced in January 2015. Adjacent listed plant sites TKRS006 - purple peavine (Lathyrus venosus) and tall meadow rue (Thalictrum dsycarpum) and TKRS003 – ostrich fern (Matteuccia struthiopteris). Minimal disturbance to area, moderate to high vegetation regrowth observed. Listed plant issue resolved Monitor in 2015.","June 20, 2016 – Intermittent narrow leaved hawks beard, recommend implementation of control measures. July 10, 2016 - Vegetation is well established with desirable species throughout ROW. Good establishment of grasses, and shrubs.  - No erosion or subsidence issues. - Intermittent herbicide application conducted to control perennial sow thistle (valve site and highway ditch) and scentless chamomile (valve site) and narrow leaved hawks beard through-out tract.  Sept 14, 2016 – Intermittent herbicide application conducted to control scentless chamomile. - Woody debris noted in 2014 is no longer present, issue resolved.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence issues. - Perennial sow thistle and scentless chamomile observed – Herbicide application recommended. - KP 77+300 Marker sign and post required - KP 76+700 Rollback Access Control is present and functioning Aug 17, 2017 – Weed control completed. Sept 15, 2017 - KP 77+300 – Marker posts repaired, issue resolved.  Sept 15, 2017 - Rollback on ROW at KP 76+800 providing effective access control in area from highway 881 to the south. Possible access on parallel line to the south.","June 26, 2018 – Mechanical weed control measures implemented to control perennial sow thistle and scentless chamomile. July 04, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. - No erosion or subsidence on tract.  - Rollback is functioning well and good establishment of vegetation.  Aug 5 and 6, 2018 – Scentless chamomile, perennial sow thistle, and common tansy controlled with a combination of mechanical measures and herbicide application.",,,
